record_id,protocol_id,query_id,task,condition,score_mode,prediction,prediction_ordinal,original_reference,reviewed_reference,original_correct,reviewed_correct,original_margin,reviewed_margin,fixed_foil,fixed_foil_margin,hate_direction,label_margins,top_gap,tied_top_count,prompt_tokens,prompt_sha256,baseline_replay
EA-5086-hate-v1:T0_L0,EA-5086-hate-v1,5086,hate,T0_L0,answer_sum,hate,0,hate,hate,True,True,0.022371292114257812,0.022371292114257812,null,null,0.022371292114257812,"{""hate"":0.022371292114257812}",0.022371292114257812,1,1086,776d16a73cd1453a48c1b0a3751b381d6efd418ccd2a542b01ac2a90925142f1,False
EA-5086-hate-v1:T0_L0,EA-5086-hate-v1,5086,hate,T0_L0,answer_mean,non-hate,1,hate,hate,False,False,-0.17769686381022137,-0.17769686381022137,null,null,-0.17769686381022137,"{""hate"":-0.17769686381022137}",0.17769686381022137,1,1086,776d16a73cd1453a48c1b0a3751b381d6efd418ccd2a542b01ac2a90925142f1,False
EA-5086-hate-v1:T0_L0,EA-5086-hate-v1,5086,hate,T0_L0,total_with_eos,hate,0,hate,hate,True,True,0.022371292114257812,0.022371292114257812,null,null,0.022371292114257812,"{""hate"":0.022371292114257812}",0.022371292114257812,1,1086,776d16a73cd1453a48c1b0a3751b381d6efd418ccd2a542b01ac2a90925142f1,False
EA-5086-hate-v1:T0_L0,EA-5086-hate-v1,5086,hate,T0_L0,mean_with_eos,non-hate,1,hate,hate,False,False,-0.11012840270996094,-0.11012840270996094,null,null,-0.11012840270996094,"{""hate"":-0.11012840270996094}",0.11012840270996094,1,1086,776d16a73cd1453a48c1b0a3751b381d6efd418ccd2a542b01ac2a90925142f1,False
EA-5086-hate-v1:T0_L1,EA-5086-hate-v1,5086,hate,T0_L1,answer_sum,hate,0,hate,hate,True,True,0.012416839599609375,0.012416839599609375,null,null,0.012416839599609375,"{""hate"":0.012416839599609375}",0.012416839599609375,1,1120,b750016881dfd4db8962c452e1fe40f51ffa6f0bfba3ae4c3f7305dfdbc1846a,False
EA-5086-hate-v1:T0_L1,EA-5086-hate-v1,5086,hate,T0_L1,answer_mean,non-hate,1,hate,hate,False,False,-0.3908587137858073,-0.3908587137858073,null,null,-0.3908587137858073,"{""hate"":-0.3908587137858073}",0.3908587137858073,1,1120,b750016881dfd4db8962c452e1fe40f51ffa6f0bfba3ae4c3f7305dfdbc1846a,False
EA-5086-hate-v1:T0_L1,EA-5086-hate-v1,5086,hate,T0_L1,total_with_eos,hate,0,hate,hate,True,True,0.012416839599609375,0.012416839599609375,null,null,0.012416839599609375,"{""hate"":0.012416839599609375}",0.012416839599609375,1,1120,b750016881dfd4db8962c452e1fe40f51ffa6f0bfba3ae4c3f7305dfdbc1846a,False
EA-5086-hate-v1:T0_L1,EA-5086-hate-v1,5086,hate,T0_L1,mean_with_eos,non-hate,1,hate,hate,False,False,-0.24376932779947919,-0.24376932779947919,null,null,-0.24376932779947919,"{""hate"":-0.24376932779947919}",0.24376932779947919,1,1120,b750016881dfd4db8962c452e1fe40f51ffa6f0bfba3ae4c3f7305dfdbc1846a,False
EA-5086-hate-v1:T1_L0,EA-5086-hate-v1,5086,hate,T1_L0,answer_sum,hate,0,hate,hate,True,True,0.5583057403564453,0.5583057403564453,null,null,0.5583057403564453,"{""hate"":0.5583057403564453}",0.5583057403564453,1,1212,a14383aea916cccdb95c30283ace368e3b2c2ddc1a5ac3fa7637a7394929585b,False
EA-5086-hate-v1:T1_L0,EA-5086-hate-v1,5086,hate,T1_L0,answer_mean,non-hate,1,hate,hate,False,False,-0.18411827087402344,-0.18411827087402344,null,null,-0.18411827087402344,"{""hate"":-0.18411827087402344}",0.18411827087402344,1,1212,a14383aea916cccdb95c30283ace368e3b2c2ddc1a5ac3fa7637a7394929585b,False
