query	target	base	layer0	pre	mid	post	attention_increment	mlp_increment	attention_branch	mlp_branch	attention_scale	mlp_scale	attention_rounding	mlp_rounding
J05	MP	M00	0	0.0	0.03505051136016846	0.05705159902572632	0.03505051136016846	0.02200108766555786	0.043164175034055674	-0.010540945783644728	-0.008113886358551703	0.03254129527034699	2.2268466448593927e-07	7.381788555971269e-07
J05	MP	M00	1	0.05705159902572632	-0.08038711547851562	-0.1441512107849121	-0.13743871450424194	-0.06376409530639648	-0.14055831425754528	-0.07443772730302478	0.003119055640875945	0.010675440564432063	5.441124273919407e-07	-1.8085678037665226e-06
J05	MP	M00	2	-0.1441512107849121	-0.06292128562927246	-0.08005285263061523	0.08122992515563965	-0.017131567001342773	0.0741431968998616	-0.014529068144819579	0.007086071134399397	-0.0026018121440796876	6.571213786547847e-07	-6.867124435067096e-07
J05	MP	M00	3	-0.08005285263061523	-0.1516127586364746	0.027601242065429688	-0.07155990600585938	0.1792140007019043	-0.07593550792099202	0.16972224348309606	0.004375125655241688	0.009492392076167047	4.762598909552329e-07	-6.348573588083051e-07
J05	MP	M00	4	0.027601242065429688	-0.25012731552124023	0.056156158447265625	-0.2777285575866699	0.30628347396850586	-0.2578647193675774	0.25902097283956316	-0.019863699025629705	0.047262140062854674	-1.3919346283919332e-07	3.610660880282168e-07
J05	MP	M00	5	0.056156158447265625	0.19953012466430664	-0.24738836288452148	0.14337396621704102	-0.4469184875488281	0.14502305414959216	-0.4168015482491927	-0.0016502758319585087	-0.03011568779107371	1.187899407367743e-06	-1.2515085617281763e-06
J05	MP	M00	6	-0.24738836288452148	-0.25669193267822266	-0.5212202072143555	-0.009303569793701172	-0.2645282745361328	-0.02456308541959029	-0.3017313711950768	0.015257381553044316	0.037203781296550276	2.1340728448039636e-06	-6.8463760627413e-07
J05	MP	M00	7	-0.5212202072143555	-0.3692655563354492	-0.5815467834472656	0.15195465087890625	-0.2122812271118164	0.12417389922337552	-0.20995881818583362	0.027782262373364626	-0.002323260504287563	-1.5107178338927274e-06	8.51578304774242e-07
J05	MP	M00	8	-0.5815467834472656	-0.6210684776306152	-0.08578228950500488	-0.03952169418334961	0.5352861881256104	-0.02449707366397112	0.4664973765348521	-0.015023684611544214	0.06878667398873495	-9.359078342765343e-07	2.1376020232777293e-06
J05	MP	M00	9	-0.08578228950500488	-0.039673805236816406	-0.16657304763793945	0.04610848426818848	-0.12689924240112305	0.05041470267364412	-0.16872533010989121	-0.004305169847650461	0.04182714929339959	-1.0485578051805389e-06	-1.0615846314232513e-06
J05	MP	M00	10	-0.16657304763793945	-0.2832980155944824	-0.05930328369140625	-0.11672496795654297	0.22399473190307617	-0.1261723730699975	0.21850503291738366	0.009447884905875389	0.005488574342669181	-4.797924208462326e-07	1.1246430233341487e-06
J05	MP	M00	11	-0.05930328369140625	-0.18952393531799316	0.1283929944038391	-0.13022065162658691	0.3179169297218323	-0.09908113134967197	0.2841919781103901	-0.03113790155640107	0.033721521335148275	-1.6187205138682922e-06	3.430276293903134e-06
