query_id	recipient	donor	focal_job_id	whole_job_id	complement_job_id	native_m	focal_m	complement_m	whole_m	focal_delta_m	complement_delta_m	whole_delta_m	conditional_complement_delta_m	conditional_focal_delta_m	additive_prediction_delta_m	interaction_m	interaction_bound	pair_difference_bound	interaction_resolved	interaction_direction	focal_tokens	complement_tokens	whole_tokens	focal_l2	complement_l2	whole_l2	complement_prediction	complement_transition	whole_prediction
J05	synthetic-J05-D01	synthetic-J05-D02	J05-D01-upstream	J05-D01-whole-query	J05-D01-query-complement	-3.206021785736084	1.839874267578125	-0.7710021138191223	3.6011569499969482	5.045896053314209	2.4350196719169617	6.807178735733032	1.7612826824188232	4.372159063816071	7.480915725231171	-0.6737369894981384	4e-06	2e-06	True	negative	2	3	5	32.0	39.191835884530846	50.59644256269407	有	unchanged	无
J05	synthetic-J05-D02	synthetic-J05-D01	J05-D02-upstream	J05-D02-whole-query	J05-D02-query-complement	3.206021785736084	-1.839874267578125	0.7710021138191223	-3.6011569499969482	-5.045896053314209	-2.4350196719169617	-6.807178735733032	-1.7612826824188232	-4.372159063816071	-7.480915725231171	0.6737369894981384	4e-06	2e-06	True	positive	2	3	5	32.0	39.191835884530846	50.59644256269407	无	unchanged	有
J06	synthetic-J06-D01	synthetic-J06-D02	J06-D01-upstream	J06-D01-whole-query	J06-D01-query-complement	-3.206021785736084	1.839874267578125	-0.7710021138191223	3.6011569499969482	5.045896053314209	2.4350196719169617	6.807178735733032	1.7612826824188232	4.372159063816071	7.480915725231171	-0.6737369894981384	4e-06	2e-06	True	negative	2	3	5	32.0	39.191835884530846	50.59644256269407	有	unchanged	无
J06	synthetic-J06-D02	synthetic-J06-D01	J06-D02-upstream	J06-D02-whole-query	J06-D02-query-complement	3.206021785736084	-1.839874267578125	0.7710021138191223	-3.6011569499969482	-5.045896053314209	-2.4350196719169617	-6.807178735733032	-1.7612826824188232	-4.372159063816071	-7.480915725231171	0.6737369894981384	4e-06	2e-06	True	positive	2	3	5	32.0	39.191835884530846	50.59644256269407	无	unchanged	有
J07	synthetic-J07-D01	synthetic-J07-D02	J07-D01-upstream	J07-D01-whole-query	J07-D01-query-complement	-3.206021785736084	1.839874267578125	-0.7710021138191223	3.6011569499969482	5.045896053314209	2.4350196719169617	6.807178735733032	1.7612826824188232	4.372159063816071	7.480915725231171	-0.6737369894981384	4e-06	2e-06	True	negative	2	3	5	32.0	39.191835884530846	50.59644256269407	有	unchanged	无
J07	synthetic-J07-D02	synthetic-J07-D01	J07-D02-upstream	J07-D02-whole-query	J07-D02-query-complement	3.206021785736084	-1.839874267578125	0.7710021138191223	-3.6011569499969482	-5.045896053314209	-2.4350196719169617	-6.807178735733032	-1.7612826824188232	-4.372159063816071	-7.480915725231171	0.6737369894981384	4e-06	2e-06	True	positive	2	3	5	32.0	39.191835884530846	50.59644256269407	无	unchanged	有
J08	synthetic-J08-D01	synthetic-J08-D02	J08-D01-upstream	J08-D01-whole-query	J08-D01-query-complement	-3.206021785736084	1.839874267578125	-0.7710021138191223	3.6011569499969482	5.045896053314209	2.4350196719169617	6.807178735733032	1.7612826824188232	4.372159063816071	7.480915725231171	-0.6737369894981384	4e-06	2e-06	True	negative	2	3	5	32.0	39.191835884530846	50.59644256269407	有	unchanged	无
J08	synthetic-J08-D02	synthetic-J08-D01	J08-D02-upstream	J08-D02-whole-query	J08-D02-query-complement	3.206021785736084	-1.839874267578125	0.7710021138191223	-3.6011569499969482	-5.045896053314209	-2.4350196719169617	-6.807178735733032	-1.7612826824188232	-4.372159063816071	-7.480915725231171	0.6737369894981384	4e-06	2e-06	True	positive	2	3	5	32.0	39.191835884530846	50.59644256269407	无	unchanged	有
J09	synthetic-J09-D01	synthetic-J09-D02	J09-D01-upstream	J09-D01-whole-query	J09-D01-query-complement	-3.206021785736084	1.839874267578125	-0.7710021138191223	3.6011569499969482	5.045896053314209	2.4350196719169617	6.807178735733032	1.7612826824188232	4.372159063816071	7.480915725231171	-0.6737369894981384	4e-06	2e-06	True	negative	2	3	5	32.0	39.191835884530846	50.59644256269407	有	unchanged	无
J09	synthetic-J09-D02	synthetic-J09-D01	J09-D02-upstream	J09-D02-whole-query	J09-D02-query-complement	3.206021785736084	-1.839874267578125	0.7710021138191223	-3.6011569499969482	-5.045896053314209	-2.4350196719169617	-6.807178735733032	-1.7612826824188232	-4.372159063816071	-7.480915725231171	0.6737369894981384	4e-06	2e-06	True	positive	2	3	5	32.0	39.191835884530846	50.59644256269407	无	unchanged	有
J10	synthetic-J10-D01	synthetic-J10-D02	J10-D01-upstream	J10-D01-whole-query	J10-D01-query-complement	-3.206021785736084	1.839874267578125	-0.7710021138191223	3.6011569499969482	5.045896053314209	2.4350196719169617	6.807178735733032	1.7612826824188232	4.372159063816071	7.480915725231171	-0.6737369894981384	4e-06	2e-06	True	negative	2	3	5	32.0	39.191835884530846	50.59644256269407	有	unchanged	无
J10	synthetic-J10-D02	synthetic-J10-D01	J10-D02-upstream	J10-D02-whole-query	J10-D02-query-complement	3.206021785736084	-1.839874267578125	0.7710021138191223	-3.6011569499969482	-5.045896053314209	-2.4350196719169617	-6.807178735733032	-1.7612826824188232	-4.372159063816071	-7.480915725231171	0.6737369894981384	4e-06	2e-06	True	positive	2	3	5	32.0	39.191835884530846	50.59644256269407	无	unchanged	有
