query_id	recipient	donor	focal_job_id	whole_job_id	native_m	donor_m	focal_m	whole_m	focal_delta_m	whole_delta_m	whole_minus_focal	pair_difference_bound	donor_minus_focal	donor_minus_whole	donor_distance_improvement	distance_improvement_bound	closer_to_donor	farther_from_donor	focal_tokens	whole_tokens	focal_l2	whole_l2	focal_prediction	whole_prediction	whole_transition
J05	synthetic-J05-D01	synthetic-J05-D02	J05-D01-upstream	J05-D01-whole-query	-3.206021785736084	3.206021785736084	1.839874267578125	3.6011569499969482	5.045896053314209	6.807178735733032	1.7612826824188232	2e-06	1.366147518157959	-0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	无	无	repair
J05	synthetic-J05-D02	synthetic-J05-D01	J05-D02-upstream	J05-D02-whole-query	3.206021785736084	-3.206021785736084	-1.839874267578125	-3.6011569499969482	-5.045896053314209	-6.807178735733032	-1.7612826824188232	2e-06	-1.366147518157959	0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	有	有	damage
J06	synthetic-J06-D01	synthetic-J06-D02	J06-D01-upstream	J06-D01-whole-query	-3.206021785736084	3.206021785736084	1.839874267578125	3.6011569499969482	5.045896053314209	6.807178735733032	1.7612826824188232	2e-06	1.366147518157959	-0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	无	无	repair
J06	synthetic-J06-D02	synthetic-J06-D01	J06-D02-upstream	J06-D02-whole-query	3.206021785736084	-3.206021785736084	-1.839874267578125	-3.6011569499969482	-5.045896053314209	-6.807178735733032	-1.7612826824188232	2e-06	-1.366147518157959	0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	有	有	damage
J07	synthetic-J07-D01	synthetic-J07-D02	J07-D01-upstream	J07-D01-whole-query	-3.206021785736084	3.206021785736084	1.839874267578125	3.6011569499969482	5.045896053314209	6.807178735733032	1.7612826824188232	2e-06	1.366147518157959	-0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	无	无	repair
J07	synthetic-J07-D02	synthetic-J07-D01	J07-D02-upstream	J07-D02-whole-query	3.206021785736084	-3.206021785736084	-1.839874267578125	-3.6011569499969482	-5.045896053314209	-6.807178735733032	-1.7612826824188232	2e-06	-1.366147518157959	0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	有	有	damage
J08	synthetic-J08-D01	synthetic-J08-D02	J08-D01-upstream	J08-D01-whole-query	-3.206021785736084	3.206021785736084	1.839874267578125	3.6011569499969482	5.045896053314209	6.807178735733032	1.7612826824188232	2e-06	1.366147518157959	-0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	无	无	repair
J08	synthetic-J08-D02	synthetic-J08-D01	J08-D02-upstream	J08-D02-whole-query	3.206021785736084	-3.206021785736084	-1.839874267578125	-3.6011569499969482	-5.045896053314209	-6.807178735733032	-1.7612826824188232	2e-06	-1.366147518157959	0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	有	有	damage
J09	synthetic-J09-D01	synthetic-J09-D02	J09-D01-upstream	J09-D01-whole-query	-3.206021785736084	3.206021785736084	1.839874267578125	3.6011569499969482	5.045896053314209	6.807178735733032	1.7612826824188232	2e-06	1.366147518157959	-0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	无	无	damage
J09	synthetic-J09-D02	synthetic-J09-D01	J09-D02-upstream	J09-D02-whole-query	3.206021785736084	-3.206021785736084	-1.839874267578125	-3.6011569499969482	-5.045896053314209	-6.807178735733032	-1.7612826824188232	2e-06	-1.366147518157959	0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	有	有	repair
J10	synthetic-J10-D01	synthetic-J10-D02	J10-D01-upstream	J10-D01-whole-query	-3.206021785736084	3.206021785736084	1.839874267578125	3.6011569499969482	5.045896053314209	6.807178735733032	1.7612826824188232	2e-06	1.366147518157959	-0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	无	无	damage
J10	synthetic-J10-D02	synthetic-J10-D01	J10-D02-upstream	J10-D02-whole-query	3.206021785736084	-3.206021785736084	-1.839874267578125	-3.6011569499969482	-5.045896053314209	-6.807178735733032	-1.7612826824188232	2e-06	-1.366147518157959	0.39513516426086426	0.9710123538970947	4e-06	True	False	2	5	32.0	50.59644256269407	有	有	repair
