query_id	reference	recipient	D00_m	D01_m	D02_m	U2_m	P2_m	U0_m	P0_m	U0_job_id	P0_job_id	U2_job_id	P2_job_id	U0_effect	P0_effect	U0_minus_P0	U0_minus_U2	U0_minus_D00	reference_aligned_U0_effect	pair_bound	U0_transition	U2_transition	P0_transition	CPU_offset	CPU_shifted_m	D00_prediction	D01_prediction	D02_prediction	U2_prediction	P2_prediction	U0_prediction	P0_prediction	CPU_shifted_prediction
J01	无	synthetic-J01-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	J01-D01-no-dictionary-focal	J01-D01-no-dictionary-preceding	J01-D01-upstream	J01-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	3.6906488835811615	2e-06	repair	repair	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
J02	有	synthetic-J02-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	J02-D01-no-dictionary-focal	J02-D01-no-dictionary-preceding	J02-D01-upstream	J02-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	-3.6906488835811615	2e-06	damage	damage	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
J03	无	synthetic-J03-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	J03-D01-no-dictionary-focal	J03-D01-no-dictionary-preceding	J03-D01-upstream	J03-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	3.6906488835811615	2e-06	repair	repair	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
J04	有	synthetic-J04-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	J04-D01-no-dictionary-focal	J04-D01-no-dictionary-preceding	J04-D01-upstream	J04-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	-3.6906488835811615	2e-06	damage	damage	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
G01	无	synthetic-G01-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	G01-D01-no-dictionary-focal	G01-D01-no-dictionary-preceding	G01-D01-upstream	G01-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	3.6906488835811615	2e-06	repair	repair	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
G02	有	synthetic-G02-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	G02-D01-no-dictionary-focal	G02-D01-no-dictionary-preceding	G02-D01-upstream	G02-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	-3.6906488835811615	2e-06	damage	damage	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
G03	无	synthetic-G03-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	G03-D01-no-dictionary-focal	G03-D01-no-dictionary-preceding	G03-D01-upstream	G03-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	3.6906488835811615	2e-06	repair	repair	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
G04	有	synthetic-G04-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	G04-D01-no-dictionary-focal	G04-D01-no-dictionary-preceding	G04-D01-upstream	G04-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	-3.6906488835811615	2e-06	damage	damage	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
B01	无	synthetic-B01-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	B01-D01-no-dictionary-focal	B01-D01-no-dictionary-preceding	B01-D01-upstream	B01-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	3.6906488835811615	2e-06	repair	repair	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
B02	有	synthetic-B02-D01	3.206021785736084	-3.206021785736084	3.206021785736084	1.839874267578125	-2.7273476123809814	0.4846270978450775	-2.8553431034088135	B02-D01-no-dictionary-focal	B02-D01-no-dictionary-preceding	B02-D01-upstream	B02-D01-preceding	3.6906488835811615	0.3506786823272705	3.339970201253891	-1.3552471697330475	-2.7213946878910065	-3.6906488835811615	2e-06	damage	damage	unchanged	7.0	3.793978214263916	无	有	无	无	有	无	有	无
