comparison_id	query_id	kind	priority	analysis_role	qwen3-8b_value	qwen3-8b_bound	qwen3-8b_resolution	qwen3-8b_reference_aligned_change	qwen3-8b_classification_transition	qwen3-14b_value	qwen3-14b_bound	qwen3-14b_resolution	qwen3-14b_reference_aligned_change	qwen3-14b_classification_transition	glm4-9b-chat_value	glm4-9b-chat_bound	glm4-9b-chat_resolution	glm4-9b-chat_reference_aligned_change	glm4-9b-chat_classification_transition	descriptive_direction_agreement
CTD2-B1-D_L_A	CTD-B1-v2	D_L_A	primary	legacy_exposed_development	-2.4273624420166016	0.00045113427734375	negative	2.4273624420166016	stable_correct	-1.593475341796875	0.0005950927734375	negative	1.593475341796875	stable_correct	0.13185691833496094	0.00014495849609375	positive	-0.13185691833496094	stable_correct	resolved_direction_conflict
CTD2-B1-D_L_B	CTD-B1-v2	D_L_B	primary	legacy_exposed_development	-1.2303485870361328	0.00045113427734375	negative	1.2303485870361328	stable_correct	-1.5203189849853516	0.0005950927734375	negative	1.5203189849853516	stable_correct	0.0602264404296875	0.00014495849609375	positive	-0.0602264404296875	stable_correct	resolved_direction_conflict
CTD2-B1-D_empty_A	CTD-B1-v2	D_empty_A	primary	legacy_exposed_development	1.7124900817871094	0.00045113427734375	positive	-1.7124900817871094	stable_correct	-7.668804168701172	0.0005950927734375	negative	7.668804168701172	stable_correct	-0.07816314697265625	0.00014495849609375	negative	0.07816314697265625	stable_correct	resolved_direction_conflict
CTD2-B1-D_empty_B	CTD-B1-v2	D_empty_B	primary	legacy_exposed_development	1.0237007141113281	0.00045113427734375	positive	-1.0237007141113281	stable_correct	0.1878204345703125	0.0005950927734375	positive	-0.1878204345703125	stable_correct	0.39945411682128906	0.00014495849609375	positive	-0.39945411682128906	stable_correct	same_resolved_direction
CTD2-B1-E_A	CTD-B1-v2	E_A	primary	legacy_exposed_development	-0.7913780212402344	2e-06	negative	0.7913780212402344	stable_correct	-6.13050651550293	0.0005950927734375	negative	6.13050651550293	stable_correct	-0.9086933135986328	0.00014495849609375	negative	0.9086933135986328	stable_correct	same_resolved_direction
CTD2-B1-E_B	CTD-B1-v2	E_B	primary	legacy_exposed_development	1.0944252014160156	2e-06	positive	-1.0944252014160156	stable_correct	-13.91397476196289	0.0005950927734375	negative	13.91397476196289	stable_correct	-1.4579410552978516	0.00014495849609375	negative	1.4579410552978516	stable_correct	resolved_direction_conflict
CTD2-B1-I_A	CTD-B1-v2	I_A	primary	legacy_exposed_development	-4.139852523803711	0.0009022685546875	negative	4.139852523803711		6.075328826904297	0.001190185546875	positive	-6.075328826904297		0.2100200653076172	0.0002899169921875	positive	-0.2100200653076172		resolved_direction_conflict
CTD2-B1-I_B	CTD-B1-v2	I_B	primary	legacy_exposed_development	-2.254049301147461	0.0009022685546875	negative	2.254049301147461		-1.708139419555664	0.001190185546875	negative	1.708139419555664		-0.33922767639160156	0.0002899169921875	negative	0.33922767639160156		same_resolved_direction
CTD2-B1-K_A	CTD-B1-v2	K_A	primary	legacy_exposed_development	1.4437580108642578	0.0009022685546875	positive	-1.4437580108642578		3.1981029510498047	0.001190185546875	positive	-3.1981029510498047		-0.013189315795898438	0.0002899169921875	negative	0.013189315795898438		resolved_direction_conflict
CTD2-B1-K_B	CTD-B1-v2	K_B	primary	legacy_exposed_development	4.186168670654297	0.0009022685546875	positive	-4.186168670654297		-7.795148849487305	0.001190185546875	negative	7.795148849487305		-1.1501922607421875	0.0002899169921875	negative	1.1501922607421875		resolved_direction_conflict
