object_id,text,attack_severity,assessment_status,attack_forms,targets,rationale,candidate_scores,suggested_score,candidate_forms,hate_reference,group_reference,label_review_kind,severity_review_kind,severity_policy_version,severity_policy_sha256,text_sha256,base_version,hate_reference_policy_version,hate_reference_policy_sha256,group_reference_policy_version,group_reference_policy_sha256,human_numeric_score_confirmed,online_material_confirmed,user_score_rationale
demo:5690,基佬破防了，急得大号和小号说话,1,scored,"[""derogation"", ""personal_insult""]","[""被性取向贬称称呼的账号使用者""]",以性取向贬称称呼具体账号使用者，并讥笑其急切表现，拟 1／LGBTQ、others。#5615 的仅 Racism 是明确个案，未据此撤销仍有效的个人辱骂增补。,[],,[],hate,"[""LGBTQ"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,b0f28bca3fbb32559625592396ef7a03bc660c7a045b47d7a5be3844813ca371,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5708,哪来的通讯录怪物,3,scored,"[""personal_insult"", ""dehumanization""]","[""被称作通讯录怪物的人""]",以同性恋谐称把对象叫作怪物，按明确非人称谓取 3／LGBTQ、others。未见对词语本身的释义或无害引用。,[],,[],hate,"[""LGBTQ"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,e85ebcb5f29638233a29e80cf9f345fbafaad80643125c2fc3e8ce18ef55c4a5,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5713,不希望以后中国遍地都是黑人小孩，怕但是治安社会矛盾突出，大家过都过不好，大家都是中国人，感觉大家还是不一样的…没有那么懒，没有那么多政治正确，没有那么多暴力和低素质，5000年的道德约束还是有的,3,scored,"[""group_stigmatization"", ""exclusion_or_rights_denial""]","[""黑人及其后代""]",把黑人后代视为不受欢迎的同国籍成员，并作种族性的文明、道德与素质高低比较，拟 3／Racism。差异明确落在同一国籍内部的种族，不机械补 Region。,[],,[],hate,"[""Racism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,d4342007f8184beae08fc4fabe0f6f5872656413481558b90dffd2fed19abba2,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5734,还有现在连某些央视都有嘿人节目，甚至嘿人评委，看着那血盆大嘴在那一张一张的心里就难受的慌，关键评论里没一个反感他们的。只要是老外，不管来自哪里长得如何，下面都是一股脑儿得说帅。眼瞎了么！但有没有发现东南亚的黄皮老外不在此列，相反是看不起越南缅甸柬埔寨等那旮瘩的老外的，感情它们喜欢的是外种？？？,2,scored,"[""group_stigmatization"", ""personal_insult""]","[""黑人出镜者"", ""赞美外国人的评论者""]",作者自行贬损黑人外貌，并辱骂赞美他们的评论者；又实际比较不同国别、种族的待遇，拟 2／Racism、Region、others。无女性角色证据，不补 Sexism。,[],,[],hate,"[""Racism"", ""Region"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,42f7fc984f1fa3e635aedb5f1f002f9f37c05f2bd548a573811adb1650af388d,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5780,互联网没记忆，我记一辈子呢。以后反正梗就天天玩着，诶谁提到我就提这个事情,0,scored,[],"[""未展开的事件或梗""]",未展示要反复提起的事件或梗的内容，可见文字没有具体攻击；沿用 #3194、#4744 的证据范围，取 0／[]。,[],,[],non-hate,[],ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,454e3b3400228693f5057a429d3592ecf308109890adfe22c4bce4a166fbf7c1,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5784,你说的很对。大部分找黑人的女人，其实分不清美国黑人，法国黑人，东非的还是西非的，总结起来，就是一无所知，完全不清楚这种文化差别会带来多少灾难，对于中国人，就要摸清楚脾气秉性，文化背景，对于外国人则毫不了解也行。这就是外国崇拜。,1,scored,"[""derogation"", ""group_stigmatization""]","[""与黑人交往的女性""]",概括与黑人交往的女性无知、崇外，并比较她们对中外伴侣的要求，拟轻度 1／Racism、Region、Sexism。这里是婚恋中的实际国别比较，有别于 #4810 的政治背景提及。,[],,[],hate,"[""Racism"", ""Region"", ""Sexism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,67a674e5ea5dbfdbefe6bc77ee2de2c13e100fd117bccaf19e36f898abfb2ddc,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5788,黑人的头上顶着三个大字：艾滋病其他乱搞的外国人也是垃圾渣滓，怎么了？,2,scored,"[""group_stigmatization""]","[""黑人"", ""被指乱搞的外国人""]",明确把黑人与艾滋病相连，并以垃圾渣滓辱骂被指乱搞的外国人，拟 2／Racism、Region。泛用骂词未像 #2750 一样建立材料本质低等类比；未见独立个人对象，不额外加 others。,[],,[],hate,"[""Racism"", ""Region""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,b72ff9f05db3452a7fb44515e18bcefc59a8c6f98204a6077846246d7cdafac9,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5819,要不要一起组队猎杀默和easygirl,4,scored,"[""violence_threat_or_call"", ""dehumanization"", ""group_stigmatization""]","[""黑人群体"", ""被 easygirl 指代的女性""]",直接邀请组队猎杀两个被身份贬称指代的人群，拟 4／Racism、Sexism。“默”的黑犬拆字及黑人贬称用法有外部实例；未见虚构游戏目标或反驳引用语境。,[],,[],hate,"[""Racism"", ""Sexism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,77007a8ae798b59f7091a508e497fb7a8661d88eb4f69fe15fbc67a1d12bea22,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5855,啊对对对，众所周知：河南，河北是不存在同性恋的。🤣,0,scored,[],"[""河南、河北同性恋居民及被反驳的断言""]",反讽表面断言的实际含义是两地也有同性恋，没有从该推论得到新的污名命题，拟 0／Region、LGBTQ。按 #5416 的方法检查实际含义，不因反讽形式单独赋分。,[],,[],non-hate,"[""Region"", ""LGBTQ""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,75496d4dd93202260b76b77a21395282fad31ef99f6a0f678dc19f8f7f432079,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:5865,本质上就是被身份政治洗脑，转移矛盾的傀儡罢了，西方犹资的老套路了，不能只看到表象，要知道幕后黑手是谁,null,needs_discussion,[],"[""被省略的傀儡所指"", ""资本或制度""]",“被洗脑的傀儡”若指具体人或态度人群，可按明确侮辱取 2／others；若整体仍只批评抽象资本或制度，依 #2598、#2701 应取 0／[]。倾向前者；省略对象及完整 group 待讨论，不只因“犹资”补 Racism。,"[0, 2]",2,"[""personal_insult"", ""group_stigmatization""]",,null,ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,67ba1236f1f056dbe204103e0e517a91fd92677c9d80a63234d2e21a40c426f7,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
