m	z_yes	z_no	log_p_yes	log_p_no	log_legal_mass	legal_mass	pair_support_no	raw_prediction	margin_error_bound	resolution	request_id	query_id	condition	reference	raw_reference_correct	dictionary_id	reference_aligned_margin	resolved_reference_correct
-20.481338500976562	52.19167709350586	31.710338592529297	-1.4227907740860246e-09	-20.481338502399353	-1.4908607681718422e-10	0.9999999998509139	1.273701635537016e-09	有	1e-06	negative	hpm-Q01-D01	Q01	L	无	False	D01	-20.481338500976562	False
24.734024047851562	26.447265625	51.18128967285156	-24.73402756493467	-3.5170831083064513e-06	-3.5170649894666894e-06	0.9999964829411954	0.9999999999818812	无	1e-06	positive	hpm-Q01-D02	Q01	L	无	True	D02	24.734024047851562	True
-12.312938690185547	50.860015869140625	38.54707717895508	-4.493658529725053e-06	-12.312943183844077	-4.384048679639818e-10	0.9999999995615951	4.493210027815095e-06	有	1e-06	negative	hpm-Q01-D03	Q01	L	无	False	D03	-12.312938690185547	False
-20.558063507080078	52.06966781616211	31.51160430908203	-1.3669847476194263e-09	-20.558063508447063	-1.8735590856522322e-10	0.9999999998126441	1.1796317679141832e-09	有	1e-06	negative	hpm-Q01-D04	Q01	L	无	False	D04	-20.558063507080078	False
-15.580089569091797	49.81527328491211	34.23518371582031	-1.719654108001123e-07	-15.580089741057208	-7.06556591012486e-10	0.9999999992934434	1.7125884005955665e-07	有	1e-06	negative	hpm-Q01-D05	Q01	L	无	False	D05	-15.580089569091797	False
-10.08481216430664	49.717655181884766	39.632843017578125	-4.170836133710054e-05	-10.084853872667978	-1.004345051569544e-09	0.999999998995655	4.17064872521357e-05	有	1e-06	negative	hpm-Q01-D06	Q01	L	无	False	D06	-10.08481216430664	False
-20.59790802001953	55.01237869262695	34.41447067260742	-1.169318863958324e-09	-20.59790802118885	-3.576161589080584e-11	0.9999999999642384	1.1335539840278772e-09	有	1e-06	negative	hpm-Q02-D01	Q02	L	有	True	D01	20.59790802001953	True
10.571319580078125	42.26352310180664	52.834842681884766	-10.57134680954045	-2.7229462325806253e-05	-1.588833484333918e-06	0.9999984111677779	0.9999743596998767	无	1e-06	positive	hpm-Q02-D02	Q02	L	有	False	D02	-10.571319580078125	False
-20.321224212646484	55.16476058959961	34.843536376953125	-1.5393268881780386e-09	-20.32122421418581	-4.445155354915187e-11	0.9999999999555484	1.4948735522115982e-09	有	1e-06	negative	hpm-Q02-D03	Q02	L	有	True	D03	20.321224212646484	True
-21.80514144897461	54.96025466918945	33.155113220214844	-3.8487257825181587e-10	-21.805141449359482	-4.5915271584817674e-11	0.9999999999540847	3.3895917303917067e-10	有	1e-06	negative	hpm-Q02-D04	Q02	L	有	True	D04	21.80514144897461	True
-18.238964080810547	53.75464630126953	35.515682220458984	-1.2126825765790272e-08	-18.238964092937373	-1.340794142379309e-10	0.9999999998659206	1.199274332728383e-08	有	1e-06	negative	hpm-Q02-D05	Q02	L	有	True	D05	18.238964080810547	True
-17.722553253173828	54.22934341430664	36.50679016113281	-2.020149736381427e-08	-17.722553273375325	-1.0164313835048233e-10	0.9999999998983569	2.00998542475432e-08	有	1e-06	negative	hpm-Q02-D06	Q02	L	有	True	D06	17.722553253173828	True
10.855964660644531	41.014373779296875	51.870338439941406	-10.85598704301757	-2.2382373039420145e-05	-3.093348588834033e-06	0.9999969066561956	0.9999807111615815	无	1e-06	positive	hpm-Q03-D01	Q03	L	无	True	D01	10.855964660644531	True
21.782014846801758	28.669462203979492	50.45147705078125	-21.78202160310056	-6.756298802201854e-06	-6.755951915238256e-06	0.9999932440709062	0.999999999653113	无	1e-06	positive	hpm-Q03-D02	Q03	L	无	True	D02	21.782014846801758	True
8.515823364257812	44.039588928222656	52.55541229248047	-8.516024966082966	-0.00020160182515382985	-1.3477241864734424e-06	0.9999986522767217	0.9997997659485468	无	1e-06	positive	hpm-Q03-D03	Q03	L	无	True	D03	8.515823364257812	True
4.054256439208984	47.76216506958008	51.81642150878906	-4.071457101562515	-0.017200662353531015	-1.0523611706503289e-06	0.9999989476393831	0.9829474589164892	无	1e-06	positive	hpm-Q03-D04	Q03	L	无	True	D04	4.054256439208984	True
11.107170104980469	41.18096923828125	52.28813934326172	-11.107187584278215	-1.747929774609247e-05	-2.4750559006747608e-06	0.9999975249471623	0.9999849958707177	无	1e-06	positive	hpm-Q03-D05	Q03	L	无	True	D05	11.107170104980469	True
11.568649291992188	41.07944107055664	52.64809036254883	-11.568660800885212	-1.1508893024370082e-05	-2.050934710950969e-06	0.9999979490673923	0.9999905420864129	无	1e-06	positive	hpm-Q03-D06	Q03	L	无	True	D06	11.568649291992188	True
