scope	contrast_type	family_count	comparison_count	family_equal_mean_effect	family_equal_mean_reference_aligned_change	family_equal_bound	aligned_resolved_positive	aligned_resolved_negative	numerical_unresolved
fixed_pack_lexicon_interaction	same_A-interaction-L_N	3	12	4.903183937072754	4.985073725382487	0.001800537109375	8	4	0
fixed_pack_lexicon_interaction	same_A-interaction-L_absent	3	12	1.4389125506083171	4.377551237742106	0.001800537109375	11	1	0
fixed_pack_lexicon_interaction	same_A-interaction-N_absent	3	12	-3.464271386464437	-0.6075224876403809	0.001800537109375	9	3	0
fixed_pack_lexicon_interaction	same_B-interaction-L_N	3	12	4.844061533610026	4.584150632222493	0.001800537109375	9	3	0
fixed_pack_lexicon_interaction	same_B-interaction-L_absent	3	12	-0.8652130762736002	0.7957986195882162	0.001800537109375	7	5	0
fixed_pack_lexicon_interaction	same_B-interaction-N_absent	3	12	-5.709274609883626	-3.7883520126342773	0.001800537109375	7	5	0
secondary_D_bundle_diagnostic	A_B-Donly	3	6	-10.591119766235352	-8.734342575073242	0.0009002685546875	3	3	0
secondary_D_bundle_diagnostic	A_vs_B_other_form	3	6	-0.8719952901204427	-0.7960961659749349	0.0009002685546875	2	4	0
secondary_D_bundle_diagnostic	A_vs_B_same_form	3	6	-0.16357135772705078	2.1010573705037436	0.0009002685546875	4	2	0
secondary_D_bundle_diagnostic	interaction	3	6	0.708423932393392	2.8971535364786782	0.001800537109375	4	2	0
secondary_D_bundle_diagnostic	other_form_A_vs_baseline	3	6	-0.040573438008626304	-0.08974424997965495	0.0009002685546875	2	4	0
secondary_D_bundle_diagnostic	other_form_B_vs_baseline	3	6	0.8314218521118164	0.7063519159952799	0.0009002685546875	5	1	0
secondary_D_bundle_diagnostic	same_A-Donly	3	6	1.6960077285766602	0.38705094655354816	0.0009002685546875	3	3	0
secondary_D_bundle_diagnostic	same_B-Donly	3	6	12.287127494812012	9.121393521626791	0.0009002685546875	4	2	0
secondary_D_bundle_diagnostic	same_form_A_vs_baseline	3	6	1.023927370707194	0.44754378000895184	0.0009002685546875	2	4	0
secondary_D_bundle_diagnostic	same_form_B_vs_baseline	3	6	1.1874987284342449	-1.6535135904947917	0.0009002685546875	2	4	0
secondary_D_bundle_diagnostic	same_vs_other_A	3	6	1.0645008087158203	0.5372880299886068	0.0009002685546875	3	3	0
secondary_D_bundle_diagnostic	same_vs_other_B	3	6	0.3560768763224284	-2.3598655064900718	0.0009002685546875	0	6	0
within_query_fixed_D	none-L_N	3	12	-3.320127805074056	-2.36663818359375	0.0009002685546875	6	6	0
within_query_fixed_D	none-L_absent	3	12	0.9626970291137695	-2.334766387939453	0.0009002685546875	3	9	0
within_query_fixed_D	none-N_absent	3	12	4.282824834187825	0.031871795654296875	0.0009002685546875	3	9	0
within_query_fixed_D	same_A-L_N	3	12	1.583056131998698	2.618435541788737	0.0009002685546875	9	3	0
within_query_fixed_D	same_A-L_absent	3	12	2.4016095797220864	2.042784849802653	0.0009002685546875	6	6	0
within_query_fixed_D	same_A-N_absent	3	12	0.8185534477233887	-0.575650691986084	0.0009002685546875	4	8	0
within_query_fixed_D	same_B-L_N	3	12	1.52393372853597	2.2175124486287436	0.0009002685546875	9	3	0
within_query_fixed_D	same_B-L_absent	3	12	0.09748395284016927	-1.538967768351237	0.0009002685546875	3	9	0
within_query_fixed_D	same_B-N_absent	3	12	-1.4264497756958008	-3.7564802169799805	0.0009002685546875	0	12	0
