contrast_id,query_id,kind,terms,view,effect,numeric_bound,direction,statistical_interval
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",original/answer_sum,-0.3461189270019531,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",original/answer_mean,-0.08807042439778648,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",original/total_with_eos,-0.3461189270019531,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",original/mean_with_eos,-0.06946563720703125,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_forward/answer_sum,-0.3898124694824219,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_forward/answer_mean,-0.19490623474121094,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_forward/total_with_eos,-0.3898124694824219,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_forward/mean_with_eos,-0.1299374898274741,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_reverse/answer_sum,-1.0333900451660156,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_reverse/answer_mean,-0.5166950225830078,0.002685546875,negative,False
EPL-541:position-A,541,two_example_position_effect,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",ab_reverse/total_with_eos,-1.0333900451660156,0.002685546875,negative,False
