query_id,condition,encoding,view,score_mode,non_hate_margin,numeric_bound,hate_score,non_hate_score,record_id,prompt_sha256,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct
541,L,original,original/answer_sum,answer_sum,0.17718124389648438,0.0013427734375,-0.9412498474121094,-0.764068603515625,ELC-541:original:L:real,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,non-hate,False,False,non-hate,non-hate,True,True
541,L,original,original/answer_mean,answer_mean,0.16093622843424482,0.0013427734375,-0.3137499491373698,-0.152813720703125,ELC-541:original:L:real,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,non-hate,False,False,non-hate,non-hate,True,True
541,L,original,original/total_with_eos,total_with_eos,0.17718124389648438,0.0013427734375,-0.9412498474121094,-0.764068603515625,ELC-541:original:L:real,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,non-hate,False,False,non-hate,non-hate,True,True
541,L,original,original/mean_with_eos,mean_with_eos,0.10796769460042319,0.0013427734375,-0.23531246185302734,-0.12734476725260416,ELC-541:original:L:real,877411766e3769501ff61bb66d1ca92e3398506f7f5c8898d1a29fec6cf814a7,non-hate,False,False,non-hate,non-hate,True,True
3169,L,original,original/answer_sum,answer_sum,-2.9013023376464844,0.0013427734375,-0.07984542846679688,-2.9811477661132812,ELC-3169:original:L:real,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,hate,False,False,non-hate,non-hate,False,False
3169,L,original,original/answer_mean,answer_mean,-0.5696144104003906,0.0013427734375,-0.026615142822265625,-0.5962295532226562,ELC-3169:original:L:real,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,hate,False,False,non-hate,non-hate,False,False
3169,L,original,original/total_with_eos,total_with_eos,-2.9013023376464844,0.0013427734375,-0.07984542846679688,-2.9811477661132812,ELC-3169:original:L:real,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,hate,False,False,non-hate,non-hate,False,False
3169,L,original,original/mean_with_eos,mean_with_eos,-0.47689660390218097,0.0013427734375,-0.01996135711669922,-0.4968579610188802,ELC-3169:original:L:real,3819c37283727016357b6d01578c5959153fe59db897c9210494de655700073b,hate,False,False,non-hate,non-hate,False,False
541,P0-A,original,original/answer_sum,answer_sum,-0.3841705322265625,0.0013427734375,-0.6098365783691406,-0.9940071105957031,ELC-541:original:P0-A:real,a51befddf0d6794ca5c3c84eda7cd7b95a237dc4ddd07d777d319aae62983a14,hate,False,False,non-hate,non-hate,False,False
541,P0-A,original,original/answer_mean,answer_mean,0.004477437337239598,0.0013427734375,-0.20327885945638022,-0.19880142211914062,ELC-541:original:P0-A:real,a51befddf0d6794ca5c3c84eda7cd7b95a237dc4ddd07d777d319aae62983a14,non-hate,False,False,non-hate,non-hate,True,True
