request_id	role	span_id	all_layer_head_mean_mass	all_layer_head_mean_density	late_18_35_mean_mass	late_18_35_mean_density	mean_visible_tokens
hsc-Q01-D03	pre_answer	lex-0419:component:original	0.004292852689449156	0.000204421556640436	0.004647949878142781	0.00022133094657822764	21.0
hsc-Q01-D03	pre_answer	lex-0419:component:ordinary	0.0027201986933366126	0.00012953327111126726	0.002339199711790959	0.00011139046246623613	21.0
hsc-Q01-D03	pre_answer	lex-0419:component:boundary	0.0011485233777932026	0.0011485233777932026	0.001668505609877188	0.001668505609877188	1.0
hsc-Q01-D03	lexicon_end	lex-0419:component:original	0.007463385272159819	0.0003553992986742771	0.0037966052547380993	0.00018079072641609994	21.0
hsc-Q01-D03	lexicon_end	lex-0419:component:ordinary	0.006514883298265058	0.0003102325380126218	0.0028713023189969465	0.00013672868185699743	21.0
hsc-Q01-D03	lexicon_end	lex-0419:component:boundary	0.006763658046094547	0.006763658046094547	0.005058362775616689	0.005058362775616689	1.0
hsc-Q01-D03	query_end	lex-0419:component:original	0.014166660421207638	0.0006746028772003636	0.012035364154952068	0.0005731125788072413	21.0
hsc-Q01-D03	query_end	lex-0419:component:ordinary	0.012520547708357315	0.0005962165575408246	0.011733148490977473	0.0005587213567132131	21.0
hsc-Q01-D03	query_end	lex-0419:component:boundary	0.0010527206518463575	0.0010527206518463575	0.0010956718239831797	0.0010956718239831797	1.0
hsc-Q01-D03	query_all	lex-0419:component:original	0.012825459667561821	0.000610736174645801	0.010888164081760656	0.0005184840038933646	21.0
hsc-Q01-D03	query_all	lex-0419:component:ordinary	0.010458039587061811	0.0004980018850981815	0.008085678612767542	0.0003850323148936925	21.0
hsc-Q01-D03	query_all	lex-0419:component:boundary	0.0014420567284538638	0.0014420567284538638	0.001382279030315579	0.001382279030315579	1.0
hsc-Q01-D03	query_focal	lex-0419:component:original	0.02577779203896599	0.001227513906617428	0.02317078818964965	0.0011033708661737926	21.0
hsc-Q01-D03	query_focal	lex-0419:component:ordinary	0.021076066579837183	0.001003622218087485	0.017491347505925018	0.0008329213098059533	21.0
hsc-Q01-D03	query_focal	lex-0419:component:boundary	0.0036939098148882432	0.0036939098148882432	0.0041038173549373625	0.0041038173549373625	1.0
hsc-Q02-D03	pre_answer	lex-0419:component:original	0.0033815790692223995	0.00016102757472487617	0.003117502370112179	0.0001484524938148657	21.0
