job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J05-D01-upstream	J05	synthetic-J05-D02	synthetic-J05-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J05-D01-preceding	J05	synthetic-J05-D02	synthetic-J05-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J05-D02-upstream	J05	synthetic-J05-D01	synthetic-J05-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	32.0
J05-D02-preceding	J05	synthetic-J05-D01	synthetic-J05-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	32.0
J06-D01-upstream	J06	synthetic-J06-D02	synthetic-J06-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J06-D01-preceding	J06	synthetic-J06-D02	synthetic-J06-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J06-D02-upstream	J06	synthetic-J06-D01	synthetic-J06-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	32.0
J06-D02-preceding	J06	synthetic-J06-D01	synthetic-J06-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	32.0
J07-D01-upstream	J07	synthetic-J07-D02	synthetic-J07-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J07-D01-preceding	J07	synthetic-J07-D02	synthetic-J07-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J07-D02-upstream	J07	synthetic-J07-D01	synthetic-J07-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	32.0
J07-D02-preceding	J07	synthetic-J07-D01	synthetic-J07-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	32.0
J08-D01-upstream	J08	synthetic-J08-D02	synthetic-J08-D01	upstream	1.839874267578125	5.045896053314209	5.045896053314209	无	repair	32.0
J08-D01-preceding	J08	synthetic-J08-D02	synthetic-J08-D01	preceding	-2.7273476123809814	0.47867417335510254	0.47867417335510254	有	unchanged	32.0
J08-D02-upstream	J08	synthetic-J08-D01	synthetic-J08-D02	upstream	-1.839874267578125	-5.045896053314209	-5.045896053314209	有	damage	32.0
J08-D02-preceding	J08	synthetic-J08-D01	synthetic-J08-D02	preceding	2.7273476123809814	-0.47867417335510254	-0.47867417335510254	无	unchanged	32.0
J09-D01-upstream	J09	synthetic-J09-D02	synthetic-J09-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	32.0
J09-D01-preceding	J09	synthetic-J09-D02	synthetic-J09-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	32.0
J09-D02-upstream	J09	synthetic-J09-D01	synthetic-J09-D02	upstream	-1.839874267578125	-5.045896053314209	5.045896053314209	有	repair	32.0
J09-D02-preceding	J09	synthetic-J09-D01	synthetic-J09-D02	preceding	2.7273476123809814	-0.47867417335510254	0.47867417335510254	无	unchanged	32.0
J10-D01-upstream	J10	synthetic-J10-D02	synthetic-J10-D01	upstream	1.839874267578125	5.045896053314209	-5.045896053314209	无	damage	32.0
J10-D01-preceding	J10	synthetic-J10-D02	synthetic-J10-D01	preceding	-2.7273476123809814	0.47867417335510254	-0.47867417335510254	有	unchanged	32.0
J10-D02-upstream	J10	synthetic-J10-D01	synthetic-J10-D02	upstream	-1.839874267578125	-5.045896053314209	5.045896053314209	有	repair	32.0
J10-D02-preceding	J10	synthetic-J10-D01	synthetic-J10-D02	preceding	2.7273476123809814	-0.47867417335510254	0.47867417335510254	无	unchanged	32.0
