job_id	query_id	condition	native_m	upstream_m	restored_m	upstream_delta_m	remaining_delta_m	removed_delta_m	removed_fraction	absolute_effect_reduced	absolute_effect_increased	upstream_prediction	restored_prediction
J05-D01-restore-L26-attention	J05	restore-L26-attention	-3.206021785736084	1.839874267578125	0.2776167392730713	5.045896053314209	3.4836385250091553	1.5622575283050537	0.3096095345204234	True	False	无	无
J05-D02-restore-L26-attention	J05	restore-L26-attention	3.206021785736084	-1.839874267578125	-0.2776167392730713	-5.045896053314209	-3.4836385250091553	-1.5622575283050537	0.3096095345204234	True	False	有	有
J06-D01-restore-L26-attention	J06	restore-L26-attention	-3.206021785736084	1.839874267578125	0.2776167392730713	5.045896053314209	3.4836385250091553	1.5622575283050537	0.3096095345204234	True	False	无	无
J06-D02-restore-L26-attention	J06	restore-L26-attention	3.206021785736084	-1.839874267578125	-0.2776167392730713	-5.045896053314209	-3.4836385250091553	-1.5622575283050537	0.3096095345204234	True	False	有	有
J07-D01-restore-L26-attention	J07	restore-L26-attention	-3.206021785736084	1.839874267578125	0.2776167392730713	5.045896053314209	3.4836385250091553	1.5622575283050537	0.3096095345204234	True	False	无	无
J07-D02-restore-L26-attention	J07	restore-L26-attention	3.206021785736084	-1.839874267578125	-0.2776167392730713	-5.045896053314209	-3.4836385250091553	-1.5622575283050537	0.3096095345204234	True	False	有	有
J08-D01-restore-L26-attention	J08	restore-L26-attention	-3.206021785736084	1.839874267578125	0.2776167392730713	5.045896053314209	3.4836385250091553	1.5622575283050537	0.3096095345204234	True	False	无	无
J08-D02-restore-L26-attention	J08	restore-L26-attention	3.206021785736084	-1.839874267578125	-0.2776167392730713	-5.045896053314209	-3.4836385250091553	-1.5622575283050537	0.3096095345204234	True	False	有	有
J09-D01-restore-L26-attention	J09	restore-L26-attention	-3.206021785736084	1.839874267578125	0.2776167392730713	5.045896053314209	3.4836385250091553	1.5622575283050537	0.3096095345204234	True	False	无	无
J09-D02-restore-L26-attention	J09	restore-L26-attention	3.206021785736084	-1.839874267578125	-0.2776167392730713	-5.045896053314209	-3.4836385250091553	-1.5622575283050537	0.3096095345204234	True	False	有	有
J10-D01-restore-L26-attention	J10	restore-L26-attention	-3.206021785736084	1.839874267578125	0.2776167392730713	5.045896053314209	3.4836385250091553	1.5622575283050537	0.3096095345204234	True	False	无	无
J10-D02-restore-L26-attention	J10	restore-L26-attention	3.206021785736084	-1.839874267578125	-0.2776167392730713	-5.045896053314209	-3.4836385250091553	-1.5622575283050537	0.3096095345204234	True	False	有	有
