schema_version,query_id,task,lex_hit,E_remove_with_D,E_remove_with_D_hate_logodds,E_remove_without_D,E_remove_without_D_hate_logodds,E_S_given_D,E_S_given_D_hate_logodds,I_S_D,I_S_D_hate_logodds
general-model-nolabel-paired-cases/v1,11,hate,True,1.3686370849609375,1.3686370849609375,-1.8006668090820312,-1.8006668090820312,-5.262823104858398,-5.262823104858398,-5.819856643676758,-5.819856643676758
general-model-nolabel-paired-cases/v1,11,group,True,-8.154037475585938,,-13.280757904052734,,-5.276142120361328,,-17.661907196044922,
general-model-nolabel-paired-cases/v1,24,hate,True,1.2299060821533203,1.2299060821533203,1.458761215209961,1.458761215209961,1.7788200378417969,1.7788200378417969,-3.3469009399414062,-3.3469009399414062
general-model-nolabel-paired-cases/v1,24,group,True,0.5626220703125,,-1.2993946075439453,,0.565460205078125,,-4.918092727661133,
general-model-nolabel-paired-cases/v1,58,hate,True,0.44097328186035156,0.44097328186035156,-1.3122062683105469,-1.3122062683105469,-3.550680160522461,-3.550680160522461,-5.352373123168945,-5.352373123168945
general-model-nolabel-paired-cases/v1,58,group,True,-22.66014862060547,,-21.059795379638672,,5.3644256591796875,,-7.69096565246582,
general-model-nolabel-paired-cases/v1,60,hate,True,-0.0597076416015625,-0.0597076416015625,-0.140472412109375,-0.140472412109375,-3.4275550842285156,-3.4275550842285156,-3.5760650634765625,-3.5760650634765625
general-model-nolabel-paired-cases/v1,60,group,True,6.393749237060547,,15.625175476074219,,0.4091835021972656,,-9.783744812011719,
general-model-nolabel-paired-cases/v1,61,hate,False,-2.0192508697509766,-2.0192508697509766,-1.9851913452148438,-1.9851913452148438,-5.391105651855469,-5.391105651855469,4.1464080810546875,4.1464080810546875
general-model-nolabel-paired-cases/v1,61,group,False,-4.299863815307617,,-4.838817596435547,,-5.424049377441406,,7.915960311889648,
general-model-nolabel-paired-cases/v1,75,hate,True,0.36922264099121094,0.36922264099121094,2.600055694580078,2.600055694580078,-3.267976760864258,-3.267976760864258,-3.1259193420410156,-3.1259193420410156
general-model-nolabel-paired-cases/v1,75,group,True,17.99267578125,,21.549240112304688,,9.333377838134766,,30.53239631652832,
general-model-nolabel-paired-cases/v1,87,hate,False,0.7513885498046875,-0.7513885498046875,-0.9379043579101562,0.9379043579101562,5.823940277099609,-5.823940277099609,-3.172046661376953,3.172046661376953
general-model-nolabel-paired-cases/v1,87,group,False,0.8221912384033203,,0.6114711761474609,,3.998411178588867,,0.20627975463867188,
general-model-nolabel-paired-cases/v1,112,hate,False,-1.0129547119140625,-1.0129547119140625,0.053760528564453125,0.053760528564453125,-3.8782577514648438,-3.8782577514648438,3.1575660705566406,3.1575660705566406
general-model-nolabel-paired-cases/v1,112,group,False,0.2885017395019531,,-2.9204483032226562,,-1.8786392211914062,,2.84375,
general-model-nolabel-paired-cases/v1,142,hate,False,1.4074478149414062,1.4074478149414062,1.1320419311523438,1.1320419311523438,-1.2388858795166016,-1.2388858795166016,6.984136581420898,6.984136581420898
general-model-nolabel-paired-cases/v1,142,group,False,6.517932891845703,,9.877321243286133,,2.0481719970703125,,10.270544052124023,
general-model-nolabel-paired-cases/v1,145,hate,True,1.464700698852539,1.464700698852539,-0.26859283447265625,-0.26859283447265625,-4.340982437133789,-4.340982437133789,-0.3840618133544922,-0.3840618133544922
general-model-nolabel-paired-cases/v1,145,group,True,16.683155059814453,,7.3842010498046875,,-0.598907470703125,,-4.973705291748047,
general-model-nolabel-paired-cases/v1,146,hate,False,-0.16845130920410156,0.16845130920410156,1.4704818725585938,-1.4704818725585938,1.0683670043945312,-1.0683670043945312,-10.685588836669922,10.685588836669922
general-model-nolabel-paired-cases/v1,146,group,False,-1.004119873046875,,0.10341262817382812,,1.5557022094726562,,-3.789569854736328,
general-model-nolabel-paired-cases/v1,178,hate,False,2.3600616455078125,2.3600616455078125,2.3995094299316406,2.3995094299316406,-0.5488967895507812,-0.5488967895507812,-1.6239852905273438,-1.6239852905273438
general-model-nolabel-paired-cases/v1,178,group,False,-1.6348247528076172,,-2.020824432373047,,-1.904336929321289,,-1.552743911743164,
