family,task,label,score_mode,metric,cell,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,all,643,0.9748297553410983,0.0,0.0,5.386078262329099,0.0,1.250082015991211,1.250082015991211,-6.418514251708984,18.266887664794922,defined,0.002685546875,1,positive,193,30,420,0.3001555209953344,0.04665629860031104,0.6531881804043546,0.8035661062593594,1.1515720007022838
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,lex_hit,223,2.8108319851315073,2.413684844970703,-1.536925888061523,8.140160751342771,1.107487678527832,4.271745681762695,3.1642580032348633,-6.418514251708984,18.266887664794922,defined,0.002685546875,1,positive,193,30,0,0.8654708520179372,0.13452914798206278,0.0,2.4034501420008225,3.213287616738289
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,lex_no_hit,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defined,0.002685546875,0,numerically_unresolved,0,0,420,0.0,0.0,1.0,0.0,0.0
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,gold_size_0,252,0.2740080394442119,0.0,0.0,2.8171508789062436,0.0,0.0,0.0,-6.418514251708984,12.232490539550781,defined,0.002685546875,1,positive,23,6,223,0.09126984126984126,0.023809523809523808,0.8849206349206349,0.09651554160647922,0.4633557872166708
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,gold_size_1,328,1.4725289693692836,0.0,0.0,6.572914505004882,0.0,2.4198684692382812,2.4198684692382812,-4.349933624267578,18.266887664794922,defined,0.002685546875,1,positive,138,16,174,0.42073170731707316,0.04878048780487805,0.5304878048780488,1.203425532579422,1.7569347761026242
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,gold_size_2plus,63,1.1869207109723772,0.3743858337402344,-0.587689208984375,4.620005416870116,0.0,2.085569381713867,2.085569381713867,-4.267578125,8.937808990478516,defined,0.002685546875,1,positive,32,8,23,0.5079365079365079,0.12698412698412698,0.36507936507936506,0.6792182286580404,1.7267421593741763
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,gold_size_2_appendix,56,1.2265616825648717,0.1871929168701172,-0.5231513977050781,4.841803550720215,0.0,1.9000682830810547,1.9000682830810547,-4.267578125,8.937808990478516,defined,0.002685546875,1,positive,28,7,21,0.5,0.125,0.375,,
contrast,hate,hate,answer_sum,answer_sum/margin/hate,L,gold_size_3_appendix,7,0.8697929382324219,1.5825977325439453,-2.762920379638672,3.1504976272583005,0.0,2.613226890563965,2.613226890563965,-3.9470291137695312,3.2265281677246094,defined,0.002685546875,1,positive,4,1,2,0.5714285714285714,0.14285714285714285,0.2857142857142857,,
contrast,hate,hate,answer_sum,answer_sum/margin/hate,D,all,643,7.071388502699405,6.756189346313477,1.2539113998413087,14.281188392639157,4.436413764953613,9.351314544677734,4.914900779724121,-2.8955764770507812,19.036819458007812,defined,0.002685546875,1,positive,627,16,0,0.9751166407465007,0.024883359253499222,0.0,6.7746982128030595,7.369465201231035
contrast,hate,hate,answer_sum,answer_sum/margin/hate,D,lex_hit,223,6.817355185880789,6.397373199462891,1.1706331253051758,14.281188392639157,4.347681045532227,8.864253044128418,4.516571998596191,-1.841390609741211,19.036819458007812,defined,0.002685546875,1,positive,218,5,0,0.9775784753363229,0.02242152466367713,0.0,6.322752057917984,7.319107429649797
