object_id,text,attack_severity,assessment_status,attack_forms,targets,rationale,candidate_scores,suggested_score,candidate_forms,hate_reference,group_reference,label_review_kind,severity_review_kind,severity_policy_version,severity_policy_sha256,text_sha256,base_version,hate_reference_policy_version,hate_reference_policy_sha256,group_reference_policy_version,group_reference_policy_sha256,human_numeric_score_confirmed,online_material_confirmed,user_score_rationale
demo:7350,你以为同性恋都很帅吗？就跟一个丑男想要美女要看自己配不配一样，一个丑的要命的同性恋能找着一个帅哥爱上你？,2,scored,"[""personal_insult"", ""group_stigmatization""]","[""同性恋受话者"", ""被比较的男女""]",按外貌羞辱同性恋受话者并否定其婚恋匹配价值，以丑男美女作实际身份比较，拟 2／LGBTQ、Sexism、others。普通配偶评价没有上升到剥夺基本权利的主张。,[],,[],hate,"[""LGBTQ"", ""Sexism"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c138a05035f795fcafe78a069f819719a0ddcef373422f42e2faea897b6e8dbe,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7394,3女同还是一个系列的的片,0,scored,[],"[""女同性恋角色""]",只是描述女同题材或其中女性角色与影片系列关系，未出现攻击，拟 0／LGBTQ、Sexism。不从色情题材联想出作者的歧视立场。,[],,[],non-hate,"[""LGBTQ"", ""Sexism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,ba7fd59d9487796a9303b44fdeff0cfd3df9037402a6f8d049388a508cc33bb4,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,2,scored,"[""personal_insult"", ""group_stigmatization""]","[""中国女性受话者""]",主动引用并采纳对中国女性的身体恶臭辱骂，还给受话者命名羞辱，拟 2／Region、Sexism、others。国别与性别均明示；没有肤色或族裔线索，不从主子一词补 Racism。死鱼是身体气味比喻，未将人的地位判成非人。,[],,[],hate,"[""Region"", ""Sexism"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,89af6f8efd6ed2882b105228f2a2a28795d32c1ecc0aaaa355d0b18948c16c6d,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7464,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,null,needs_discussion,"[""group_stigmatization""]","[""同性恋群体"", ""被称为正常人的对照群体""]",以爱／艾谐音把同性恋与艾滋绑定，攻击已明确，group 拟 LGBTQ、others（正常人作为对照身份）。分数倾向 2；“正常人”是否同时把同性恋排除于正常人的身份地位之外、达到 3，需校准。,"[2, 3]",2,"[""exclusion_or_rights_denial""]",hate,"[""LGBTQ"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,fb5b202152a8e8564a0ffa197e973816660dcde7c1a57c55261b4570b4d31fa0,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7485,植物也会开花结果，你们同性恋的爱有什么结果？结果是艾滋。同性恋有什么爱情结晶？爱情结晶是hiv药。同性恋同婚有什么意义？意义就是互相传播艾滋上天堂,2,scored,"[""group_stigmatization""]","[""同性恋群体""]",以连续反问把同性恋爱情、婚姻等同于疾病传播，拟 2／LGBTQ。上天堂是疾病污名及冷嘲，未直接主张伤害；植物类比在此讨论繁衍结果，未据植物一词自动判非人化。未见独立个人受话者，不增 others。,[],,[],hate,"[""LGBTQ""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,0dac97fe25689037156041273a5cfb67298d24a8798a60c813ba6c739fa9e9ee,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7519,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,1,scored,"[""derogation"", ""personal_insult""]","[""反同及网暴参与者"", ""被辩护的同性恋""]",为同性恋反驳欺骗和不孝指控，但同时以智商、生活不如意讽刺反同参与者，拟 1／LGBTQ、others。按 #309、#5919 的轻度人格贬评尺度，不由反仇恨主旨覆盖独立攻击。,[],,[],hate,"[""LGBTQ"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,8214faa91adc1385dc859d9811532ea6d662b07bf12c5331defbad3d80e1a0e3,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7545,按皮肤归纳人种本来就不对，黑人里面的人种特别多，天差地别。而且黑人不聪明很多是教育的原因。但是黑人数目那么大，比例少但是数量绝对不少。没必要说哪种人比哪种人聪明，更开化什么的。我就在网上看到过一些黑人精英，而且能到中国做生意的黑人，很多时候也是非洲比较聪明厉害有行动力的。就文化我们和他们处不来，但是做生意，尊重一些还是能做到的。,null,needs_discussion,[],"[""黑人及种族比较群体""]",全文反对种族智力高低论并倡导尊重，但“黑人不聪明很多是教育的原因”可能仍认可群体不聪明的前提。倾向反歧视解释 0；若该前提构成独立污名，候选 2。中国及非洲是迁移经商背景，不据此另加 Region。,"[0, 2]",0,"[""group_stigmatization""]",,"[""Racism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,1b86fd0bcb0cf9bf2ab4519c3429bd03c84ea9868153f29ed5367d6abd2f9895,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7556,江浙沪不黑其他省份就不错了，2002年黑山东多宝鱼药物残留超标的是哪里？给山东造成了40多亿的损失。2015年的山东青岛大虾事件，是哪里的食客吃霸王餐倒打一耙？2019年的山大学伴事件是哪里媒体带头炒作出来的？2020年上海的自媒体同时炒作山东理工大学学生虐猫和山东烟台鲍毓明xx养女。经常黑山东的财经专家叶檀是哪里的？骂一亿山东人不如z的大学生是宇宙省的。骂全国的许女是哪里的？,2,scored,"[""group_stigmatization""]","[""江浙沪居民"", ""被辩护的山东居民""]",开头将攻击其他省份的行为泛化给江浙沪，后续通过事件和人物来源为其背书，拟 2／Region。对山东的动物辱称属于被批评的他人引文，不计成作者新的 3 级攻击；人物职业仅为指认背景，未自动加 others。,[],,[],hate,"[""Region""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,389e76eafc2c7e752b77af1dfb20b4482c970d151e566166e826e693723117b1,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7611,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,2,scored,"[""personal_insult""]","[""受话者""]",直接称具体受话者为废物并羞辱其胆量，拟 2／others。明确个人辱骂，无可确认的专门身份类别。,[],,[],hate,"[""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c563d8cc67a8bcc7dc5aebbf8bd75e42f7b86591a8024ca7bcf1b3cda8e89951,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:7633,国外有敌对黑恶势力，收买国内一些下贱二狗子汉奸在国内做恶意引导～,2,scored,"[""group_stigmatization""]","[""被指收买的政治代理者""]",明确辱骂被指收买的实际人员为下贱二狗子汉奸，拟 2／others。有明确人群角色，区别于 #5865 纯抽象制度资本讨论；国内外只是政治代理关系背景。二狗子是角色辱称，未据字面狗字另升 3。,[],,[],hate,"[""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,edf1b0b71dcb753635f4d18ef2e1cb08bcfd1a80873f5ac6d45bb5cb9fe74267,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
