suite	context	method	method_label	query_id	family	reference	sign	baseline_score_id	method_offset	baseline_margin	method_margin	gain	baseline_margin_bound	method_margin_bound	gain_bound	gain_direction	baseline_status	method_status	transition	baseline_raw_correct	method_raw_correct
dictionary	D01	N	有参考原生 N	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-20.19007110595703125	0E-17	0.00009918212890625	0.00009918212890625	0	exact_zero	wrong	wrong	still_wrong	False	False
dictionary	D01	no_reference	整体去参考	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-20.052822113037109375	0.137248992919921875	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	U0	无词典供体 U0	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-17.45475006103515625	2.73532104492187500	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	U2	普通义供体 U2	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-19.078372955322265625	1.111698150634765625	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	P0	无词典前置 P0	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-20.186428070068359375	0.003643035888671875	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	P2	普通义前置 P2	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-20.18035888671875	0.00971221923828125	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	plus7	固定 +7	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	7	-20.19007110595703125	-13.19007110595703125	7.00000000000000000	0.00009918212890625	0.00009918212890625	0	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	CAD05	CAD α=0.5	B01	B	无	1	dictionary-free-donor-v1/native/ctm-B01-D01	0	-20.19007110595703125	-20.2586956024169921875	-0.0686244964599609375	0.00009918212890625	0.000198364257812500	0.000099182128906250	negative	wrong	wrong	still_wrong	False	False
dictionary	D01	N	有参考原生 N	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-21.071758270263671875	-0E-18	0.00009918212890625	0.00009918212890625	0	exact_zero	correct	correct	kept_correct	True	True
dictionary	D01	no_reference	整体去参考	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-20.526592254638671875	-0.545166015625000000	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	correct	correct	kept_correct	True	True
dictionary	D01	U0	无词典供体 U0	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-19.33829498291015625	-1.733463287353515625	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	correct	correct	kept_correct	True	True
dictionary	D01	U2	普通义供体 U2	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-19.792499542236328125	-1.279258728027343750	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	correct	correct	kept_correct	True	True
dictionary	D01	P0	无词典前置 P0	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-21.08724212646484375	0.015483856201171875	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	correct	correct	kept_correct	True	True
dictionary	D01	P2	普通义前置 P2	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-21.1171417236328125	0.045383453369140625	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	correct	correct	kept_correct	True	True
dictionary	D01	plus7	固定 +7	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	7	-21.071758270263671875	-14.071758270263671875	-7.000000000000000000	0.00009918212890625	0.00009918212890625	0	negative	correct	correct	kept_correct	True	True
dictionary	D01	CAD05	CAD α=0.5	B02	B	有	-1	dictionary-free-donor-v1/native/ctm-B02-D01	0	-21.071758270263671875	-21.3443412780761718750	0.2725830078125000000	0.00009918212890625	0.000198364257812500	0.000099182128906250	positive	correct	correct	kept_correct	True	True
dictionary	D01	N	有参考原生 N	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-11.045585632324218750	0E-18	0.00009918212890625	0.00009918212890625	0	exact_zero	wrong	wrong	still_wrong	False	False
dictionary	D01	no_reference	整体去参考	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-12.849330902099609375	-1.803745269775390625	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	wrong	wrong	still_wrong	False	False
dictionary	D01	U0	无词典供体 U0	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-8.163761138916015625	2.881824493408203125	0.00009918212890625	0.00009918212890625	0.00019836425781250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	U2	普通义供体 U2	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-13.996807098388671875	-2.951221466064453125	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	wrong	wrong	still_wrong	False	False
dictionary	D01	P0	无词典前置 P0	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-11.2709503173828125	-0.225364685058593750	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	wrong	wrong	still_wrong	False	False
dictionary	D01	P2	普通义前置 P2	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-11.21227264404296875	-0.166687011718750000	0.00009918212890625	0.00009918212890625	0.00019836425781250	negative	wrong	wrong	still_wrong	False	False
dictionary	D01	plus7	固定 +7	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	7	-11.045585632324218750	-4.045585632324218750	7.000000000000000000	0.00009918212890625	0.00009918212890625	0	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	CAD05	CAD α=0.5	B03	B	无	1	dictionary-free-donor-v1/native/ctm-B03-D01	0	-11.045585632324218750	-10.1437129974365234375	0.9018726348876953125	0.00009918212890625	0.000198364257812500	0.000099182128906250	positive	wrong	wrong	still_wrong	False	False
dictionary	D01	N	有参考原生 N	B04	B	有	-1	dictionary-free-donor-v1/native/ctm-B04-D01	0	-22.095043182373046875	-22.095043182373046875	-0E-18	0.00009918212890625	0.00009918212890625	0	exact_zero	correct	correct	kept_correct	True	True
