job_id	layer0	probe_delta_pre	probe_delta_mid	probe_delta_post	attention_increment_delta	mlp_increment_delta	attention_branch_delta	mlp_branch_delta	attention_scale_delta	mlp_scale_delta
Q01-D02-into-D01-focal-L17	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q01-D02-into-D01-focal-L17	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
