object_id,review_kind,text,hate,group,uncertainties,note,human_adjudicated_tasks,user_rationale,online_material_confirmed,hate_policy_version,hate_policy_sha256,group_policy_version,group_policy_sha256
demo:476,ai_note,在下也不太能接受。不过有一个问题，假如那姑娘被黑人给QJ了怎么算⁉俺觉得这种情况反而能接受了😅,hate,"[""Racism"", ""Sexism""]",,通过是否自愿来贬评女性与黑人交往，形成种族与性别化的污名；“能接受受害者”没有赞许强暴，不能据 QJ 字面取暴力级。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:478,ai_note,u1s1，那个图片里对女人的解读基本没什么毛病，如果你觉得不对，那么请在五千年人类史中举出反例,non-hate,"[""Sexism""]",,参照 #3194、#4744，只看可见文字。赞同的具体图片命题缺失，当前句子没有可识别的攻击内容，不补造图片；女人明确作为被解释的群体，保留 Sexism。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:4810,human_with_ai,女权背后打拳替美国佬办事的狗东西可不少，把黑人娶进来的咋不说呢,hate,"[""Racism"", ""Sexism"", ""others""]",,用户明确判 hate／2／Racism、Sexism、others。“美国佬”为政治代理指控的背景，不单独参与讨论，不补 Region。,"hate,group",美国佬为政治代理指控不参与讨论,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:4839,ai_note,用歧视修正道德吧，媚黑的扭曲三观，需要歧视其，并连带歧视其家人邻居等等大范围，只有火烧到了身上，大部分人才会救火,hate,"[""others""]",,把亲黑人态度者及其家人邻居一并列为歧视对象，是对明确人群的连带排斥，取 others；无明确性别信息，也未直接评价黑人群体本身，不补 Sexism 或 Racism。“火烧”是殃及自身的比喻。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:4891,ai_note,抛开数量谈都是耍流氓最底层的“最”，这个模糊的伺……底层男可以找底层女啊，底层女的也被挤压（）,non-hate,"[""Sexism"", ""others""]",,批评论证方式并讨论男女及底层阶层的婚恋处境，没有将“底层”本身说成低劣，也未直接称对方是流氓；取 0。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:4939,ai_note,备注：本人于今天上午一点发的同名帖子被系统删除，删前已有100多评论。大家猜猜是怎么回事呢,non-hate,[],,描述帖子被删除并邀请推测，没有实施针对人的贬损。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:51,ai_note,人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是男同。,hate,"[""LGBTQ"", ""Sexism"", ""others""]",,宣称女性有吸血本能并仅具繁殖、泄欲工具价值，支持 3 级；红丸群体与男同也作为行为选择或评价单位，分别保留 others、LGBTQ。没有明确认可强迫性暴力，不据性内容直接升 4。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5113,human_with_ai,很多男的无感，我老公就是对同志无感，而且他还有一个同事一个战友是同，他们玩的都挺好的。但是他说他在部队，有个男的加他，要给他k，他不同意，然后那个男的说闭上眼睛享受就行了，结果我老公把他拉黑了。今年我不知道啥事问他，他才告诉我的，他说就是很奇怪，为啥会有男的要给他k🤔，神经病么。。。他们直男都不了解为什么同会这样，都觉得很奇怪。其实很多直男对同都是无感的,non-hate,"[""LGBTQ"", ""Sexism"", ""others""]",,用户明确按客观描述事件判 non-hate／0；主体是那个男的，没有直接攻击同性恋群体。保留 LGBTQ、Sexism、others 的讨论类别，不把转述中的“神经病么”当成作者另行认可的攻击。,"hate,group",仅为客观描述事件，主体是那个”男的“，并未直接攻击同性恋群体,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5125,ai_note,嫁非洲人可以，去非洲。我们不需要中非混血。更不需要嘿二代少先队员说我们是祖国的花朵。审美不符，道德情操不符，艾滋病的潜伏期太长，国人很怕当接盘侠。,hate,"[""Racism"", ""Region"", ""Sexism""]",,要求因跨种族婚育而离境并排斥混血后代的共同体参与，兼有种族、地域归属及性别化婚恋评价，取 3 级。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5135,ai_note,作为一个土生外长的河南人，以前也一直是恨铁不成钢，和外面的人打交道从来小心翼翼，生怕给故乡招了黑，但到后来慢慢才发现，各种迹象表明，地域黑是西方资本控制的国内某些媒体，刻意营造出来的从内部分裂、瓦解民族认同感的舆论战争！（结合当下的国际形势，以及曝光出来的一些类似案例，请自行脑补）,non-hate,"[""Region""]",,反对地域污名并归因媒体和资本操作，没有把抽象资本改写成具体受辱人群。这里不核实或认可其政治操控指控，取 0。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5211,ai_note,这个不是有视频吗，再怎么样黑黑在中国打中国女人那两个男的不出手说不过去，如果在非洲中国人打黑女人估计命都不保,non-hate,"[""Racism"", ""Region"", ""Sexism""]",,批评殴打与旁观并比较种族、中外居民和男女处境，取 Racism、Region、Sexism。反事实后果是预测，没有直接赞成杀人；当前措辞不足以另立作者攻击，取 0。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5230,ai_note,这里部分哪里是臆想，一个存在命题而已，【存在】华工在法国获得了法国女性的青睐，这样子表述你依旧认为不完备吗？,non-hate,"[""Region"", ""Sexism"", ""others""]",,以华工和法国女性为交往命题的实际对象，按国别、性别和工人角色取 Region、Sexism、others；没有明确种族维度，不因国籍词补 Racism。存在命题本身没有攻击，取 0。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:528,human_with_ai,骂棒畜是一回事，骂幕刃又是另一回事,hate,"[""Region"", ""Sexism""]",,用户明确判 hate／3／Region、Sexism：使用明确辱称，没有证据表明是无害讨论；不再保留纯词语讨论的候选。,"hate,group",使用明确辱称，且没证据表明是无害讨论,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5282,ai_note,他们对上海地域黑怎么黑的他们把我们做过的事都说了一遍别的不说，就爱丁堡一事，哪怕你是上海人都不该维护自己，否则就别怪别人黑,hate,"[""Region""]",,当前文本直接以“上海人”为单位正当化地域黑，并否定其辩护；与 #4744 未展示具体攻击的情况有别。取 2 级群体污名，尚不足以扩成剥夺基本权利或身体伤害。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5297,ai_note,西安本地都是河南人，在西安城里面走到哪都能听到河南话，有必要黑河南？我听到见到的主流声音都是豫陕一家亲，从足球来看，无论陕西浐灞还是现在的长安竞技，都是和河南建业关系最好。个别黑河南黑洛阳的是带着KPI的，甚至不排除反串的，请不要再挑起豫陕两省的矛盾了。,non-hate,"[""Region""]",,为两地居民辩护并反对制造地域矛盾；对个别挑事者动机的质疑没有另外的人格辱骂，取 0。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5330,ai_note,只能说物以类聚吧，至少我身边的女孩子都是这样，甚至还会觉得他们（黑和白）味道很大😭,hate,"[""Racism"", ""Sexism""]",,认可针对黑人白人的负面体味概括，并概括女性态度，取 Racism、Sexism。强度按轻度负面概括取 1，没有天生低等或排斥权利主张。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5365,human_with_ai,又是应了那句老话，认真你就输了。人类真是复读机，租鸡青一了解一下？（开玩笑的）,non-hate,"[""Sexism"", ""others""]",,用户明确判 non-hate／0／Sexism、others，只在谈网络梗和生活选择；不据其中可能的词语贬义另立本句攻击。,"hate,group",只在谈网络梗和生活选择,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5394,human_with_ai,我感觉西方的教会拒绝甚至诅咒同性恋是对他们信仰的维护。我也不容我的信仰被玷污。当然，西方炼铜的，该怎么死怎么死。在我的生活中，只要txl不干扰他人并强迫接受，那可以理解。当然，不诅咒已经是最大的克制了。不祝福，不喜欢。,hate,"[""LGBTQ"", ""others""]",,用户明确判 hate／3／LGBTQ、others；死亡措辞仅表达漠视，未认可身体伤害，删除暴力认可候选。,"hate,group",只是表达漠视、未认可伤害，没到达预定程度,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5408,ai_note,幕刃是这样的,hate,"[""Sexism""]",,使用女性侮辱性谐称作群体概括，取 2 级。并非独立针对某个可识别个人，不机械补 others。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5416,human_with_ai,这么说的话最不会传播艾滋病的是女同，女同应该打压男同跟异性恋，让世界上只有女同！,hate,"[""LGBTQ"", ""others""]",,用户明确判 hate／2／LGBTQ、others；归谬实际得到“男同最会传播艾滋病”的污名化含义，整体带有阴阳怪气。按实际讽刺及污名计分，不把归谬自动视为无攻击，也不按表层排斥最高级赋分。,"hate,group",归谬得到”男同最会传播艾滋病“带有污名化意，且整体带有阴阳怪气,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5425,ai_note,滚，lkd,hate,"[""Sexism"", ""others""]",,直接沿用用户 #1729 的 lkd＝烂裤裆释义，针对个人作性别化私生活羞辱，取 Sexism、others／2；个人辱骂本身不再是 hate 范围疑点。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5466,ai_note,上个帖子被贴吧破防的幕刃举报没了，后面我看重新申请回来,hate,"[""Sexism"", ""others""]",,针对具体举报者使用女性辱称，行为批评之外另有个人辱骂，按增补规则取 Sexism、others／2。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5473,ai_note,有一说一真的不会有审美隔离吗，例如黑人白人看我们都是黄皮，我们也分不太清黑人白人的样貌，甚至觉得黑人严重不符合我的审美,non-hate,"[""Racism""]",,描述跨种族面孔辨识与个人审美偏好，没有把不符合自己审美推成群体人格低劣或剥夺权利；可见文本取 0，种族仍是被讨论的实际类别。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5507,ai_note,幕刃不值得同情,hate,"[""Sexism""]",,女性辱称与对整个群体的无同情判断相连，取 2 级；未明确主张伤害或剥夺基本权利，不仅凭“不值得”升 3／4。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5532,ai_note,如果你喜欢对号入座，我无话可说。你们遭人唾弃，还是你们自己的问题，若想人不知，除非己莫为。,hate,"[""others""]",,明确对受话者作人格贬斥。参照个人辱骂计入 others 的规则，未知上文身份不阻止 others，也不补其他专门类别；取 2 级。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5535,ai_note,大兄弟，小心被地域黑当成靶子，毕竟回族在中文网络上名声不太好,non-hate,"[""Racism""]",,提醒回族成员可能被攻击、描述不良网络声誉，未认可该民族低劣，取 0／Racism；不因“地域黑”的字面额外加 Region。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5615,human_with_ai,嘿人删我贴就是**子！,hate,"[""Racism""]",,用户明确判 hate／2／仅 Racism，删除 AI 先前添加的 others。未提供本例理由，按明确给值保存，不自行推断这是对个人辱骂计入 others 的全局修改。** 的具体脏词仍不补猜。,"hate,group",,False,evidence-severity-hate-default-mapping/v1,dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5616,ai_note,很明显火星人是人好吧？火星人名字都带人字了，选错的自己反省,non-hate,[],,围绕“人”字作题目或词义推理，未见现实身份评价或个人辱骂，取 0／[]。不需要凭虚构设定构造人群。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
