query_id	recipient	donor	focal_job_id	pre_job_id	delta_m	bound	reference_aligned_delta
J05	jctx-J05-D01	jctx-J05-D02	J05-D01-upstream	J05-D01-preceding	4.761577606201172	2e-06	4.761577606201172
J05	jctx-J05-D02	jctx-J05-D01	J05-D02-upstream	J05-D02-preceding	-1.1114978790283203	2e-06	-1.1114978790283203
J06	jctx-J06-D01	jctx-J06-D02	J06-D01-upstream	J06-D01-preceding	4.995780944824219	2e-06	4.995780944824219
J06	jctx-J06-D02	jctx-J06-D01	J06-D02-upstream	J06-D02-preceding	-2.340372085571289	2e-06	-2.340372085571289
J07	jctx-J07-D01	jctx-J07-D02	J07-D01-upstream	J07-D01-preceding	0.3268699645996094	2e-06	0.3268699645996094
J07	jctx-J07-D02	jctx-J07-D01	J07-D02-upstream	J07-D02-preceding	-0.6775054931640625	2e-06	-0.6775054931640625
J08	jctx-J08-D01	jctx-J08-D02	J08-D01-upstream	J08-D01-preceding	-0.7759552001953125	2e-06	-0.7759552001953125
J08	jctx-J08-D02	jctx-J08-D01	J08-D02-upstream	J08-D02-preceding	1.002532958984375	2e-06	1.002532958984375
J09	jctx-J09-D01	jctx-J09-D02	J09-D01-upstream	J09-D01-preceding	0.337982177734375	2e-06	-0.337982177734375
J09	jctx-J09-D02	jctx-J09-D01	J09-D02-upstream	J09-D02-preceding	-0.445037841796875	2e-06	0.445037841796875
J10	jctx-J10-D01	jctx-J10-D02	J10-D01-upstream	J10-D01-preceding	-0.08052444458007812	2e-06	0.08052444458007812
J10	jctx-J10-D02	jctx-J10-D01	J10-D02-upstream	J10-D02-preceding	0.16448211669921875	2e-06	-0.16448211669921875
