job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J05-D01-upstream	J05	jctx-J05-D02	jctx-J05-D01	upstream	14.103252410888672	5.0240631103515625	5.0240631103515625	无	unchanged	38.29669053908408
J05-D01-preceding	J05	jctx-J05-D02	jctx-J05-D01	preceding	9.3416748046875	0.2624855041503906	0.2624855041503906	无	unchanged	25.052002461246474
J05-D01-whole-query	J05	jctx-J05-D02	jctx-J05-D01	whole-query	18.130245208740234	9.051055908203125	9.051055908203125	无	unchanged	60.92711057728122
J05-D01-query-complement	J05	jctx-J05-D02	jctx-J05-D01	query-complement	14.166595458984375	5.087406158447266	5.087406158447266	无	unchanged	47.38645689487492
J05-D01-query-before	J05	jctx-J05-D02	jctx-J05-D01	query-before	9.3416748046875	0.2624855041503906	0.2624855041503906	无	unchanged	25.052002461246474
J05-D01-query-after	J05	jctx-J05-D02	jctx-J05-D01	query-after	13.734142303466797	4.6549530029296875	4.6549530029296875	无	unchanged	40.222797885422494
J05-D01-focal-before	J05	jctx-J05-D02	jctx-J05-D01	focal-before	14.430412292480469	5.351222991943359	5.351222991943359	无	unchanged	45.76285976165247
J05-D01-focal-after	J05	jctx-J05-D02	jctx-J05-D01	focal-after	17.79930877685547	8.72011947631836	8.72011947631836	无	unchanged	55.53836490191199
J05-D02-upstream	J05	jctx-J05-D01	jctx-J05-D02	upstream	24.0969181060791	-1.142354965209961	-1.142354965209961	无	unchanged	38.29669053908408
J05-D02-preceding	J05	jctx-J05-D01	jctx-J05-D02	preceding	25.208415985107422	-0.030857086181640625	-0.030857086181640625	无	unchanged	25.052002461246474
J05-D02-whole-query	J05	jctx-J05-D01	jctx-J05-D02	whole-query	22.584205627441406	-2.6550674438476562	-2.6550674438476562	无	unchanged	60.92711057728122
J05-D02-query-complement	J05	jctx-J05-D01	jctx-J05-D02	query-complement	24.251598358154297	-0.9876747131347656	-0.9876747131347656	无	unchanged	47.38645689487492
J05-D02-query-before	J05	jctx-J05-D01	jctx-J05-D02	query-before	25.208415985107422	-0.030857086181640625	-0.030857086181640625	无	unchanged	25.052002461246474
J05-D02-query-after	J05	jctx-J05-D01	jctx-J05-D02	query-after	24.339319229125977	-0.8999538421630859	-0.8999538421630859	无	unchanged	40.222797885422494
J05-D02-focal-before	J05	jctx-J05-D01	jctx-J05-D02	focal-before	24.025943756103516	-1.2133293151855469	-1.2133293151855469	无	unchanged	45.76285976165247
J05-D02-focal-after	J05	jctx-J05-D01	jctx-J05-D02	focal-after	22.754804611206055	-2.484468460083008	-2.484468460083008	无	unchanged	55.53836490191199
J06-D01-upstream	J06	jctx-J06-D02	jctx-J06-D01	upstream	12.296089172363281	5.154788970947266	5.154788970947266	无	unchanged	49.6326158194843
J06-D01-preceding	J06	jctx-J06-D02	jctx-J06-D01	preceding	7.3003082275390625	0.15900802612304688	0.15900802612304688	无	unchanged	34.869168979244165
J06-D01-whole-query	J06	jctx-J06-D02	jctx-J06-D01	whole-query	12.441322326660156	5.300022125244141	5.300022125244141	无	unchanged	95.90391183097435
J06-D01-query-complement	J06	jctx-J06-D02	jctx-J06-D01	query-complement	5.565452575683594	-1.5758476257324219	-1.5758476257324219	无	unchanged	82.06195069213673
