query_id	recipient	donor	focal_job_id	whole_job_id	native_m	donor_m	focal_m	whole_m	focal_delta_m	whole_delta_m	whole_minus_focal	pair_difference_bound	donor_minus_focal	donor_minus_whole	donor_distance_improvement	distance_improvement_bound	closer_to_donor	farther_from_donor	focal_tokens	whole_tokens	focal_l2	whole_l2	focal_prediction	whole_prediction	whole_transition
J05	jctx-J05-D01	jctx-J05-D02	J05-D01-upstream	J05-D01-whole-query	9.07918930053711	25.239273071289062	14.103252410888672	18.130245208740234	5.0240631103515625	9.051055908203125	4.0269927978515625	2e-06	11.13602066040039	7.109027862548828	4.0269927978515625	4e-06	True	False	2	17	38.29669053908408	60.92711057728122	无	无	unchanged
J05	jctx-J05-D02	jctx-J05-D01	J05-D02-upstream	J05-D02-whole-query	25.239273071289062	9.07918930053711	24.0969181060791	22.584205627441406	-1.142354965209961	-2.6550674438476562	-1.5127124786376953	2e-06	-15.017728805541992	-13.505016326904297	1.5127124786376953	4e-06	True	False	2	17	38.29669053908408	60.92711057728122	无	无	unchanged
J06	jctx-J06-D01	jctx-J06-D02	J06-D01-upstream	J06-D01-whole-query	7.141300201416016	27.44451141357422	12.296089172363281	12.441322326660156	5.154788970947266	5.300022125244141	0.145233154296875	2e-06	15.148422241210938	15.003189086914062	0.145233154296875	4e-06	True	False	2	25	49.6326158194843	95.90391183097435	无	无	unchanged
J06	jctx-J06-D02	jctx-J06-D01	J06-D02-upstream	J06-D02-whole-query	27.44451141357422	7.141300201416016	25.020395278930664	24.231287002563477	-2.4241161346435547	-3.213224411010742	-0.7891082763671875	2e-06	-17.87909507751465	-17.08998680114746	0.7891082763671875	4e-06	True	False	2	25	49.6326158194843	95.90391183097435	无	无	unchanged
J07	jctx-J07-D01	jctx-J07-D02	J07-D01-upstream	J07-D01-whole-query	-18.999263763427734	-17.337478637695312	-18.654701232910156	-19.32879638671875	0.3445625305175781	-0.3295326232910156	-0.6740951538085938	2e-06	1.3172225952148438	1.9913177490234375	-0.6740951538085938	4e-06	False	True	2	18	41.41616883457926	87.02749756797098	有	有	unchanged
J07	jctx-J07-D02	jctx-J07-D01	J07-D02-upstream	J07-D02-whole-query	-17.337478637695312	-18.999263763427734	-18.064712524414062	-17.738216400146484	-0.72723388671875	-0.4007377624511719	0.3264961242675781	2e-06	-0.9345512390136719	-1.26104736328125	-0.3264961242675781	4e-06	False	True	2	18	41.41616883457926	87.02749756797098	有	有	unchanged
J08	jctx-J08-D01	jctx-J08-D02	J08-D01-upstream	J08-D01-whole-query	-11.271629333496094	-12.461105346679688	-11.759723663330078	-10.508365631103516	-0.4880943298339844	0.7632637023925781	1.2513580322265625	2e-06	-0.7013816833496094	-1.9527397155761719	-1.2513580322265625	4e-06	False	True	2	24	36.88207878536937	90.42723394159722	有	有	unchanged
J08	jctx-J08-D02	jctx-J08-D01	J08-D02-upstream	J08-D02-whole-query	-12.461105346679688	-11.271629333496094	-11.449455261230469	-11.024368286132812	1.0116500854492188	1.436737060546875	0.42508697509765625	2e-06	0.177825927734375	-0.24726104736328125	-0.06943511962890625	4e-06	False	True	2	24	36.88207878536937	90.42723394159722	有	有	unchanged
J09	jctx-J09-D01	jctx-J09-D02	J09-D01-upstream	J09-D01-whole-query	-23.253013610839844	-21.13751220703125	-22.957263946533203	-22.785823822021484	0.2957496643066406	0.4671897888183594	0.17144012451171875	2e-06	1.8197517395019531	1.6483116149902344	0.17144012451171875	4e-06	True	False	2	20	39.32701632665586	92.44617087859052	有	有	unchanged
J09	jctx-J09-D02	jctx-J09-D01	J09-D02-upstream	J09-D02-whole-query	-21.13751220703125	-23.253013610839844	-21.586669921875	-22.123268127441406	-0.44915771484375	-0.9857559204101562	-0.5365982055664062	2e-06	-1.6663436889648438	-1.1297454833984375	0.5365982055664062	4e-06	True	False	2	20	39.32701632665586	92.44617087859052	有	有	unchanged
J10	jctx-J10-D01	jctx-J10-D02	J10-D01-upstream	J10-D01-whole-query	-21.369144439697266	-19.336795806884766	-21.417369842529297	-21.140277862548828	-0.04822540283203125	0.2288665771484375	0.27709197998046875	2e-06	2.0805740356445312	1.8034820556640625	0.27709197998046875	4e-06	True	False	2	23	36.88207878536937	86.41128525070026	有	有	unchanged
J10	jctx-J10-D02	jctx-J10-D01	J10-D02-upstream	J10-D02-whole-query	-19.336795806884766	-21.369144439697266	-19.218795776367188	-20.327178955078125	0.11800003051757812	-0.9903831481933594	-1.1083831787109375	2e-06	-2.150348663330078	-1.0419654846191406	1.1083831787109375	4e-06	True	False	2	23	36.88207878536937	86.41128525070026	有	有	unchanged
