query_id	recipient	donor	effect_U	effect_B	effect_A	effect_UB	effect_UA	effect_C	effect_W	effect_P	I_UB	bound_UB	I_UA	bound_UA	I_BA	bound_BA	I_UBA	bound_UBA	I_UC	closure_remainder	conditional_B_after_U	conditional_A_after_U	reference
J05	jctx-J05-D01	jctx-J05-D02	5.0240631103515625	0.2624855041503906	4.6549530029296875	5.351222991943359	8.72011947631836	5.087406158447266	9.051055908203125	0.2624855041503906	0.06467437744140625	4e-06	-0.9588966369628906	4e-06	0.1699676513671875	4e-06	-0.16619110107421875	8e-06	-1.0604133605957031	0.0	0.3271598815917969	3.696056365966797	无
J05	jctx-J05-D02	jctx-J05-D01	-1.142354965209961	-0.030857086181640625	-0.8999538421630859	-1.2133293151855469	-2.484468460083008	-0.9876747131347656	-2.6550674438476562	-0.030857086181640625	-0.04011726379394531	4e-06	-0.44215965270996094	4e-06	-0.05686378479003906	4e-06	-0.04276084899902344	8e-06	-0.5250377655029297	0.0	-0.07097434997558594	-1.3421134948730469	无
J06	jctx-J06-D01	jctx-J06-D02	5.154788970947266	1.3048286437988281	-2.1305618286132812	6.361881256103516	4.602024078369141	-1.5758476257324219	5.300022125244141	0.15900802612304688	-0.09773635864257812	4e-06	1.5777969360351562	4e-06	-0.7501144409179688	4e-06	0.24102020263671875	8e-06	1.7210807800292969	0.0	1.20709228515625	-0.552764892578125	无
J06	jctx-J06-D02	jctx-J06-D01	-2.4241161346435547	-0.16115570068359375	-0.6638717651367188	-2.7135982513427734	-2.8671226501464844	-0.8931331634521484	-3.213224411010742	-0.08374404907226562	-0.128326416015625	4e-06	0.22086524963378906	4e-06	-0.06810569763183594	4e-06	0.011486053466796875	8e-06	0.10402488708496094	0.0	-0.28948211669921875	-0.4430065155029297	无
J07	jctx-J07-D01	jctx-J07-D02	0.3445625305175781	-0.24800491333007812	-0.36043548583984375	0.212371826171875	-0.098602294921875	-0.6874923706054688	-0.3295326232910156	0.01769256591796875	0.115814208984375	4e-06	-0.08272933959960938	4e-06	-0.07905197143554688	4e-06	-0.019687652587890625	8e-06	0.013397216796875	0.0	-0.13219070434570312	-0.4431648254394531	无
J07	jctx-J07-D02	jctx-J07-D01	-0.72723388671875	-0.12113571166992188	0.6308403015136719	-0.6294708251953125	-0.37738800048828125	0.3201332092285156	-0.4007377624511719	-0.0497283935546875	0.21889877319335938	4e-06	-0.2809944152832031	4e-06	-0.18957138061523438	4e-06	0.06845855712890625	8e-06	0.0063629150390625	0.0	0.0977630615234375	0.34984588623046875	无
J08	jctx-J08-D01	jctx-J08-D02	-0.4880943298339844	0.19286727905273438	1.6410980224609375	-0.4669227600097656	1.0096435546875	1.582916259765625	0.7632637023925781	0.2878608703613281	-0.17169570922851562	4e-06	-0.14336013793945312	4e-06	-0.2510490417480469	4e-06	-0.01650238037109375	8e-06	-0.3315582275390625	0.0	0.02117156982421875	1.4977378845214844	无
J08	jctx-J08-D02	jctx-J08-D01	1.0116500854492188	0.20562362670898438	0.7255172729492188	0.9565887451171875	1.6867027282714844	0.7193412780761719	1.436737060546875	0.00911712646484375	-0.2606849670410156	4e-06	-0.050464630126953125	4e-06	-0.21179962158203125	4e-06	0.016895294189453125	8e-06	-0.2942543029785156	0.0	-0.05506134033203125	0.6750526428222656	无
J09	jctx-J09-D01	jctx-J09-D02	0.2957496643066406	-0.1722259521484375	0.34755706787109375	0.153076171875	0.6321601867675781	0.15921783447265625	0.4671897888183594	-0.042232513427734375	0.029552459716796875	4e-06	-0.01114654541015625	4e-06	-0.01611328125	4e-06	-0.006183624267578125	8e-06	0.0122222900390625	0.0	-0.14267349243164062	0.3364105224609375	有
J09	jctx-J09-D02	jctx-J09-D01	-0.44915771484375	-0.0555419921875	-0.5237350463867188	-0.4869880676269531	-0.9903488159179688	-0.5494499206542969	-0.9857559204101562	-0.004119873046875	0.017711639404296875	4e-06	-0.0174560546875	4e-06	0.029827117919921875	4e-06	0.01259613037109375	8e-06	0.012851715087890625	0.0	-0.037830352783203125	-0.5411911010742188	有
J10	jctx-J10-D01	jctx-J10-D02	-0.04822540283203125	0.05007171630859375	0.3001289367675781	-0.0187835693359375	0.20690155029296875	0.35416412353515625	0.2288665771484375	0.032299041748046875	-0.0206298828125	4e-06	-0.045001983642578125	4e-06	0.003963470458984375	4e-06	-0.011440277099609375	8e-06	-0.0770721435546875	0.0	0.02944183349609375	0.255126953125	有
J10	jctx-J10-D02	jctx-J10-D01	0.11800003051757812	-0.14461898803710938	-0.9167976379394531	-0.01971435546875	-0.8862953186035156	-1.0353355407714844	-0.9903831481933594	-0.046482086181640625	0.00690460205078125	4e-06	-0.08749771118164062	4e-06	0.026081085205078125	4e-06	0.00754547119140625	8e-06	-0.07304763793945312	0.0	-0.13771438598632812	-1.0042953491210938	有
