m	z_yes	z_no	log_p_yes	log_p_no	log_legal_mass	legal_mass	pair_support_no	raw_prediction	margin_error_bound	resolution	request_id	query_id	dictionary_id	reference	reference_aligned_margin	raw_reference_correct
25.893070220947266	25.882610321044922	51.77568054199219	-25.89307228985257	-2.0689053030764626e-06	-2.0688996187345765e-06	0.9999979311025214	0.9999999999943157	无	1e-06	positive	jctx-J05-D00	J05	D00	无	25.893070220947266	True
9.07918930053711	43.51192092895508	52.59111022949219	-9.07930834158308	-0.00011904104596993648	-5.033543985177857e-06	0.9999949664686831	0.9998859989966236	无	1e-06	positive	jctx-J05-D01	J05	D01	无	9.07918930053711	True
25.239273071289062	25.11373519897461	50.35300827026367	-25.239298487501948	-2.5416212885431833e-05	-2.541620195017913e-05	0.9999745841210388	0.9999999999890647	无	1e-06	positive	jctx-J05-D02	J05	D02	无	25.239273071289062	True
29.461158752441406	22.585121154785156	52.04627990722656	-29.461160221422112	-1.4689807059653504e-06	-1.4689805425405211e-06	0.9999985310205364	0.9999999999998366	无	1e-06	positive	jctx-J06-D00	J06	D00	无	29.461158752441406	True
7.141300201416016	46.625816345214844	53.76711654663086	-7.142092704741479	-0.000792503325463656	-1.0945431654363347e-06	0.9999989054574335	0.9992089042990349	无	1e-06	positive	jctx-J06-D01	J06	D01	无	7.141300201416016	True
27.44451141357422	24.384700775146484	51.8292121887207	-27.44452245044136	-1.1036867142877327e-05	-1.1036865934954676e-05	0.999988963194971	0.9999999999987921	无	1e-06	positive	jctx-J06-D02	J06	D02	无	27.44451141357422	True
-22.529621124267578	54.80779266357422	32.27817153930664	-1.7909940197569085e-10	-22.529621124446678	-1.4850343177386094e-11	0.9999999999851497	1.642516973899517e-10	有	1e-06	negative	jctx-J07-D00	J07	D00	无	-22.529621124267578	False
-18.999263763427734	53.61644744873047	34.617183685302734	-5.624308130336431e-09	-18.999263769052043	-1.738698074404965e-11	0.999999999982613	5.606922908598599e-09	有	1e-06	negative	jctx-J07-D01	J07	D01	无	-18.999263763427734	False
-17.337478637695312	53.636627197265625	36.29914855957031	-2.9566045611773006e-08	-17.337478667261358	-2.4805046905385097e-11	0.999999999975195	2.9541237533521254e-08	有	1e-06	negative	jctx-J07-D02	J07	D02	无	-17.337478637695312	False
-14.836433410644531	53.02743911743164	38.19100570678711	-3.602915370493065e-07	-14.836433770936068	-2.928146614067373e-11	0.9999999999707185	3.6026218788155136e-07	有	1e-06	negative	jctx-J08-D00	J08	D00	无	-14.836433410644531	False
-11.271629333496094	52.71029281616211	41.438663482666016	-1.272893586445889e-05	-11.271642062431958	-3.7630343285854906e-11	0.9999999999623697	1.2728817221548996e-05	有	1e-06	negative	jctx-J08-D01	J08	D01	无	-11.271629333496094	False
-12.461105346679688	52.50066375732422	40.03955841064453	-3.8744880086483136e-06	-12.461109221167696	-3.97264443563472e-11	0.9999999999602736	3.8744407772262575e-06	有	1e-06	negative	jctx-J08-D02	J08	D02	无	-12.461105346679688	False
-24.09585189819336	55.40120315551758	31.30535125732422	-4.912692475045333e-11	-24.095851898242486	-1.482902689531329e-11	0.999999999985171	3.430081852881104e-11	有	1e-06	negative	jctx-J09-D00	J09	D00	有	24.09585189819336	True
-23.253013610839844	55.98562240600586	32.732608795166016	-8.64801563693618e-11	-23.253013610926324	-6.799893981224159e-12	0.9999999999932001	7.967911489817603e-11	有	1e-06	negative	jctx-J09-D01	J09	D01	有	23.253013610839844	True
-21.13751220703125	55.11249542236328	33.97498321533203	-6.775238148293283e-10	-21.137512207708774	-1.6683543435647152e-11	0.9999999999833165	6.608381200279049e-10	有	1e-06	negative	jctx-J09-D02	J09	D02	有	21.13751220703125	True
-21.53982925415039	55.733741760253906	34.193912506103516	-4.49816184300289e-10	-21.539829254600207	-7.865708084864309e-12	0.9999999999921343	4.4194783791042576e-10	有	1e-06	negative	jctx-J10-D00	J10	D00	有	21.53982925415039	True
-21.369144439697266	56.25253677368164	34.883392333984375	-5.27336396771716e-10	-21.369144440224602	-3.133493464702042e-12	0.9999999999968665	5.242017743244799e-10	有	1e-06	negative	jctx-J10-D01	J10	D01	有	21.369144439697266	True
-19.336795806884766	54.95243835449219	35.61564254760742	-4.010558996014879e-09	-19.336795810895325	-9.85522774499259e-12	0.9999999999901448	4.000702721484162e-09	有	1e-06	negative	jctx-J10-D02	J10	D02	有	19.336795806884766	True
