condition_id,query_id,demo_family,lexicon_arm,demo_surface,view,non_hate_margin,numeric_bound,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct,reviewed_margin
FQD-3169-F1-O-A,3169,1,O,A,original/answer_sum,-0.2624931335449219,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.2624931335449219
FQD-3169-F1-O-A,3169,1,O,A,original/answer_mean,0.03019485473632813,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,0.03019485473632813
FQD-3169-F1-O-A,3169,1,O,A,original/total_with_eos,-0.2624931335449219,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.2624931335449219
FQD-3169-F1-O-A,3169,1,O,A,original/mean_with_eos,0.0079345703125,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,0.0079345703125
FQD-3169-F1-O-A,3169,1,O,A,ab_forward/answer_sum,-7.084621429443359,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-7.084621429443359
FQD-3169-F1-O-A,3169,1,O,A,ab_forward/answer_mean,-3.5423107147216797,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-3.5423107147216797
FQD-3169-F1-O-A,3169,1,O,A,ab_forward/total_with_eos,-7.084621429443359,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-7.084621429443359
FQD-3169-F1-O-A,3169,1,O,A,ab_forward/mean_with_eos,-2.36154047648112,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-2.36154047648112
FQD-3169-F1-O-A,3169,1,O,A,ab_reverse/answer_sum,5.61553955078125,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,5.61553955078125
FQD-3169-F1-O-A,3169,1,O,A,ab_reverse/answer_mean,2.807769775390625,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,2.807769775390625
FQD-3169-F1-O-A,3169,1,O,A,ab_reverse/total_with_eos,5.61553955078125,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,5.61553955078125
FQD-3169-F1-O-A,3169,1,O,A,ab_reverse/mean_with_eos,1.8718465169270835,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,1.8718465169270835
FQD-3169-F1-O-A,3169,1,O,A,background,2.8117657112581274,0.0013427734375,null,False,False,non-hate,non-hate,null,null,null
FQD-3169-F1-O-A,3169,1,O,A,ncc,-2.781570856521799,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.781570856521799
FQD-3169-F1-O-A,3169,1,O,A,single_probe/empty,-3.421093495686849,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-3.421093495686849
FQD-3169-F1-O-A,3169,1,O,A,single_probe/space,-2.9356302897135413,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.9356302897135413
FQD-3169-F1-O-A,3169,1,O,A,single_probe/na,-1.8335553487141925,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-1.8335553487141925
FQD-3169-F1-O-A,3169,1,O,A,single_probe/mask,-2.774921417236328,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.774921417236328
FQD-3169-F1-O-A,3169,1,O,A,single_probe/lorem,-4.3458196004231775,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-4.3458196004231775
FQD-3169-F1-O-A,3169,1,O,A,leave_one_out/empty,-2.666274966574558,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.666274966574558
FQD-3169-F1-O-A,3169,1,O,A,leave_one_out/space,-2.7461462029474952,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.7461462029474952
FQD-3169-F1-O-A,3169,1,O,A,leave_one_out/na,-3.2206102629156352,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-3.2206102629156352
FQD-3169-F1-O-A,3169,1,O,A,leave_one_out/mask,-2.7832393584931006,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.7832393584931006
FQD-3169-F1-O-A,3169,1,O,A,leave_one_out/lorem,-2.591426550586193,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.591426550586193
FQD-3169-F1-O-A,3169,1,O,A,ab_symmetric_sum,-0.7345409393310547,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.7345409393310547
FQD-3169-F1-O-A,3169,1,O,A,ab_mapping_gap_sum,-12.70016098022461,0.002685546875,null,False,False,non-hate,non-hate,null,null,null
FQD-3169-F1-O-H,3169,1,O,H,original/answer_sum,-0.914825439453125,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.914825439453125
FQD-3169-F1-O-H,3169,1,O,H,original/answer_mean,-0.13254445393880207,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.13254445393880207
FQD-3169-F1-O-H,3169,1,O,H,original/total_with_eos,-0.914825439453125,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.914825439453125
FQD-3169-F1-O-H,3169,1,O,H,original/mean_with_eos,-0.1209580103556315,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-0.1209580103556315
FQD-3169-F1-O-H,3169,1,O,H,ab_forward/answer_sum,-10.057090759277344,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-10.057090759277344
FQD-3169-F1-O-H,3169,1,O,H,ab_forward/answer_mean,-5.028545379638672,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-5.028545379638672
FQD-3169-F1-O-H,3169,1,O,H,ab_forward/total_with_eos,-10.057090759277344,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-10.057090759277344
FQD-3169-F1-O-H,3169,1,O,H,ab_forward/mean_with_eos,-3.3523635864257812,0.0013427734375,hate,False,False,non-hate,non-hate,False,False,-3.3523635864257812
FQD-3169-F1-O-H,3169,1,O,H,ab_reverse/answer_sum,3.568134307861328,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,3.568134307861328
FQD-3169-F1-O-H,3169,1,O,H,ab_reverse/answer_mean,1.784067153930664,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,1.784067153930664
FQD-3169-F1-O-H,3169,1,O,H,ab_reverse/total_with_eos,3.568134307861328,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,3.568134307861328
FQD-3169-F1-O-H,3169,1,O,H,ab_reverse/mean_with_eos,1.1893781026204429,0.0013427734375,non-hate,False,False,non-hate,non-hate,True,True,1.1893781026204429
FQD-3169-F1-O-H,3169,1,O,H,background,2.69136176104422,0.0013427734375,null,False,False,non-hate,non-hate,null,null,null
FQD-3169-F1-O-H,3169,1,O,H,ncc,-2.823906214983022,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.823906214983022
FQD-3169-F1-O-H,3169,1,O,H,single_probe/empty,-3.438764444986979,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-3.438764444986979
FQD-3169-F1-O-H,3169,1,O,H,single_probe/space,-2.925354766845703,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.925354766845703
FQD-3169-F1-O-H,3169,1,O,H,single_probe/na,-1.8816332499186197,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-1.8816332499186197
FQD-3169-F1-O-H,3169,1,O,H,single_probe/mask,-2.821041107177734,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.821041107177734
FQD-3169-F1-O-H,3169,1,O,H,single_probe/lorem,-4.499164581298829,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-4.499164581298829
FQD-3169-F1-O-H,3169,1,O,H,leave_one_out/empty,-2.711324444704036,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.711324444704036
FQD-3169-F1-O-H,3169,1,O,H,leave_one_out/space,-2.799892711823665,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-2.799892711823665
FQD-3169-F1-O-H,3169,1,O,H,leave_one_out/na,-3.2519040208150014,0.002685546875,hate,False,False,non-hate,non-hate,False,False,-3.2519040208150014
