condition_id,query_id,real_mean_margin,background_margin,ncc_margin,probe_margins,probe_ncc_margins,leave_one_out_ncc_margins,physical_real_record_id,physical_probe_record_ids,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct,reviewed_margin
FQD-3169-F1-O-A,3169,0.03019485473632813,2.8117657112581274,-2.781570856521799,"{""empty"":3.451288350423177,""lorem"":4.376014455159505,""mask"":2.8051162719726563,""na"":1.8637502034505207,""space"":2.9658251444498696}","{""empty"":-3.421093495686849,""lorem"":-4.3458196004231775,""mask"":-2.774921417236328,""na"":-1.8335553487141925,""space"":-2.9356302897135413}","{""empty"":-2.666274966574558,""lorem"":-2.591426550586193,""mask"":-2.7832393584931006,""na"":-3.2206102629156352,""space"":-2.7461462029474952}",FQP-025c2a1ede7ca90e03433bd435c6769cce155b4afad379880a2288584c20c62b,"{""empty"":""FQP-b05d2b09a9af3a0785c7a7fa801255072aac62ce6c967aa581b2c1507ccfd7ed"",""lorem"":""FQP-1d64015bddaeadd90b18f1726f650faee057cd5eadfec8966b2d92df7e7b2451"",""mask"":""FQP-a43ac97810c23a25d5f1f4923325a82baf678f9e5363e87e12a7fc4d2632eb9f"",""na"":""FQP-7a088a0ec25b707aad36562f9ec787f9074290d598651c984931c50cb649c488"",""space"":""FQP-839e0d1a2d9dd21551c2a0696ced08b03ce88509841ce03b60a4e0f6a9b241b4""}",hate,False,False,non-hate,non-hate,False,False,-2.781570856521799
FQD-3169-F1-O-H,3169,-0.13254445393880207,2.69136176104422,-2.823906214983022,"{""empty"":3.3062199910481773,""lorem"":4.366620127360027,""mask"":2.688496653238932,""na"":1.7490887959798176,""space"":2.792810312906901}","{""empty"":-3.438764444986979,""lorem"":-4.499164581298829,""mask"":-2.821041107177734,""na"":-1.8816332499186197,""space"":-2.925354766845703}","{""empty"":-2.711324444704036,""lorem"":-2.627358706815104,""mask"":-2.824623613002826,""na"":-3.2519040208150014,""space"":-2.799892711823665}",FQP-55e467c42767975638d91c10aa6f8493195b6475078c2bc8447bb7dccba3b440,"{""empty"":""FQP-481b5566480d71b4932a463d1b55aedb773ddcc3bc6f133ac612b6914492b5e4"",""lorem"":""FQP-e938a92f5f645e1d4092e2e7ca791b297082e0da755f23b6e9bb15a19de69cf8"",""mask"":""FQP-6b73b3708cc4aeacbc65526068a79fcd919c49d523eaa9f2d84e442a9837651a"",""na"":""FQP-952560bdb4a05a95038380727a669f732f59fff58f8d659fc97bb27ed975812e"",""space"":""FQP-2f8e24f5c93494c1e8d4c0d577bfe69a25015d06867108de037d6eb32579f331""}",hate,False,False,non-hate,non-hate,False,False,-2.823906214983022
FQD-3169-F2-O-A,3169,0.14035542805989581,2.8053067110471837,-2.6649512829872877,"{""empty"":3.396752675374349,""lorem"":4.427587890625,""mask"":2.9167160034179687,""na"":1.8317164103190104,""space"":2.9107706705729166}","{""empty"":-3.256397247314453,""lorem"":-4.287232462565105,""mask"":-2.7763605753580727,""na"":-1.6913609822591147,""space"":-2.7704152425130206}","{""empty"":-2.555838315350765,""lorem"":-2.472006879509773,""mask"":-2.638741300478985,""na"":-3.1247147002995095,""space"":-2.640060511247006}",FQP-77f14948d8c0a36cbea9baffd667fdc50e30886db3561af3d719cee2cb59559a,"{""empty"":""FQP-4835c1ae56dd21b6bab67dfa27937d2e97f1f697b1cb76c3b2e1edcbcd2c1dbc"",""lorem"":""FQP-37a777d383ac73f2b3c924cbd5fa7c6ddb96a76bb02b140d6e03c251d3cf9a4b"",""mask"":""FQP-106c98b6a5f803aeca6d43290fffd8def830b9a631a7f95d474ab74e31eabd07"",""na"":""FQP-b83167ab6928ba25fc4f343266ab8e905518d09bf1b677cd3111cb91bd2c148d"",""space"":""FQP-2f2b7fc14fa188548ca1b16aedf29f9e497e39f4651e6395e7e27a15ca12a0c8""}",hate,False,False,non-hate,non-hate,False,False,-2.6649512829872877
FQD-3169-F2-O-H,3169,-0.0818242390950521,2.765817443793497,-2.8476416828885487,"{""empty"":3.3976974487304688,""lorem"":4.46067606608073,""mask"":2.84797846476237,""na"":1.7849957784016925,""space"":2.8684712727864583}","{""empty"":-3.479521687825521,""lorem"":-4.542500305175782,""mask"":-2.9298027038574217,""na"":-1.8668200174967446,""space"":-2.95029551188151}","{""empty"":-2.7331468324276376,""lorem"":-2.6510754034377193,""mask"":-2.828000965151862,""na"":-3.311132478475572,""space"":-2.8233710771444285}",FQP-534439a6703274cc2669a15f8a531cf8e63d513f4bf229cbfd84dda9ba1dfbe6,"{""empty"":""FQP-686e69fb3420abc2159fd4a7a1ee1d909c58616fdc30dee608b6c7189be85ec7"",""lorem"":""FQP-4a682681b6332b339a2414e6bdc8b4e8d6b9ae25640d95b57c5213775f784176"",""mask"":""FQP-7b3c397de412fae1dd586d7b5f9cb4c2c3eed121774a14da583d21a42245be00"",""na"":""FQP-8e2ca871b9a21d5f49241232bb7e6854f7f0db5175114cb4b401d0b94170f06c"",""space"":""FQP-7d671b8e1115330056c9231ccb2f72dc877b82960a83a43f50817468777ac7e8""}",hate,False,False,non-hate,non-hate,False,False,-2.8476416828885487
FQD-FD-3169-Q01-F1-O-A,FD-3169-Q01,-0.03392588297526042,2.8117657112581274,-2.845691594233388,"{""empty"":3.451288350423177,""lorem"":4.376014455159505,""mask"":2.8051162719726563,""na"":1.8637502034505207,""space"":2.9658251444498696}","{""empty"":-3.4852142333984375,""lorem"":-4.409940338134765,""mask"":-2.839042154947917,""na"":-1.8976760864257811,""space"":-2.99975102742513}","{""empty"":-2.730395704286147,""lorem"":-2.6555472882977815,""mask"":-2.847360096204689,""na"":-3.284731000627224,""space"":-2.810266940659084}",FQP-42d1a3c580271c336d4b1ef2a3b3b0810f594cffe77a4a27bd8dc3acb68ea677,"{""empty"":""FQP-b05d2b09a9af3a0785c7a7fa801255072aac62ce6c967aa581b2c1507ccfd7ed"",""lorem"":""FQP-1d64015bddaeadd90b18f1726f650faee057cd5eadfec8966b2d92df7e7b2451"",""mask"":""FQP-a43ac97810c23a25d5f1f4923325a82baf678f9e5363e87e12a7fc4d2632eb9f"",""na"":""FQP-7a088a0ec25b707aad36562f9ec787f9074290d598651c984931c50cb649c488"",""space"":""FQP-839e0d1a2d9dd21551c2a0696ced08b03ce88509841ce03b60a4e0f6a9b241b4""}",hate,False,False,null,non-hate,null,False,-2.845691594233388
FQD-FD-3169-Q01-F1-O-H,FD-3169-Q01,0.11689097086588543,2.69136176104422,-2.5744707901783346,"{""empty"":3.3062199910481773,""lorem"":4.366620127360027,""mask"":2.688496653238932,""na"":1.7490887959798176,""space"":2.792810312906901}","{""empty"":-3.1893290201822917,""lorem"":-4.2497291564941415,""mask"":-2.5716056823730464,""na"":-1.6321978251139322,""space"":-2.6759193420410154}","{""empty"":-2.4618890198993486,""lorem"":-2.3779232820104164,""mask"":-2.5751881881981387,""na"":-3.002468596010314,""space"":-2.5504572870189777}",FQP-1f670c93638b7bcb047ffd6a3609801c39ef816a9750a47ba97b962973aabf81,"{""empty"":""FQP-481b5566480d71b4932a463d1b55aedb773ddcc3bc6f133ac612b6914492b5e4"",""lorem"":""FQP-e938a92f5f645e1d4092e2e7ca791b297082e0da755f23b6e9bb15a19de69cf8"",""mask"":""FQP-6b73b3708cc4aeacbc65526068a79fcd919c49d523eaa9f2d84e442a9837651a"",""na"":""FQP-952560bdb4a05a95038380727a669f732f59fff58f8d659fc97bb27ed975812e"",""space"":""FQP-2f8e24f5c93494c1e8d4c0d577bfe69a25015d06867108de037d6eb32579f331""}",hate,False,False,null,non-hate,null,False,-2.5744707901783346
FQD-FD-3169-Q01-F1-P1-A,FD-3169-Q01,-0.4041737874348958,2.7650347447594155,-3.169208532194311,"{""empty"":3.4483383178710936,""lorem"":4.353078715006511,""mask"":2.7976094563802083,""na"":1.7612225850423175,""space"":2.9742507934570312}","{""empty"":-3.852512105305989,""lorem"":-4.757252502441407,""mask"":-3.201783243815104,""na"":-2.1653963724772134,""space"":-3.378424580891927}","{""empty"":-3.0483427902301536,""lorem"":-2.9774536832740317,""mask"":-3.1612090835893683,""na"":-3.65229097724683,""space"":-3.1224545847293466}",FQP-33bc03a44ad71f1d14f006325800e0343567c670243c8e5976f38937d7b27b06,"{""empty"":""FQP-517c80ed48d4928b618847d194ae9f73e460c9271f204100adc04809eca346a8"",""lorem"":""FQP-12284d07d03dc8f8e0923aeffbd8e08fd462d72f4db489b807c108c15cf63a83"",""mask"":""FQP-e3df4ef3f487bda73858423fe1a7af630e1e2905cc075aaa5c8cbc219985b36e"",""na"":""FQP-0e6c521e3e10fbfad8183508f68847e47479db34ae4e52f7d4a6c25a7b4d1b6a"",""space"":""FQP-19c0381f60ff134bb4ed549a79154287003ec5620db745906ff81410d8d27944""}",hate,False,False,null,non-hate,null,False,-3.169208532194311
FQD-FD-3169-Q01-F1-P1-H,FD-3169-Q01,-0.5776819864908854,2.6491457769941347,-3.22682776348502,"{""empty"":3.3072715759277345,""lorem"":4.325233968098958,""mask"":2.6891998291015624,""na"":1.6457822163899738,""space"":2.814705912272135}","{""empty"":-3.88495356241862,""lorem"":-4.902915954589844,""mask"":-3.266881815592448,""na"":-2.223464202880859,""space"":-3.3923878987630207}","{""empty"":-3.108563108166475,""lorem"":-3.0297469361606666,""mask"":-3.2170283936348056,""na"":-3.701580811022574,""space"":-3.1889234188695132}",FQP-b686addf38e2cb9673c9b27c49dcd409ee310b74fdb282af27dfb16b414879e2,"{""empty"":""FQP-8c1da66090133d62e38740049a818d6ac1f1169add8bb871994bdde466615a5c"",""lorem"":""FQP-334d2d8c505dce61105d67e6a9ae0debc1b1a1ffabd929ee67b9f2a50940d558"",""mask"":""FQP-8cca266cad625682e3aa6b441dd3d798223fc2bdefa68398a6b121051b7c2086"",""na"":""FQP-c4370d723bf7bef6dff00dd93d4b16defaeec9dc13f29f842241616f6f841822"",""space"":""FQP-5bc8a74ec4d273f4f2dbaaefa0972839b8d073bb6ded61848a96315815d947d0""}",hate,False,False,null,non-hate,null,False,-3.22682776348502
FQD-FD-3169-Q01-F1-P2-A,FD-3169-Q01,-0.42094879150390624,2.719816567608741,-3.140765359112647,"{""empty"":3.3394620259602865,""lorem"":4.38789545694987,""mask"":2.7272099812825523,""na"":1.7341931660970051,""space"":2.9211990356445314}","{""empty"":-3.7604108174641926,""lorem"":-4.808844248453776,""mask"":-3.1481587727864584,""na"":-2.1551419576009114,""space"":-3.3421478271484375}","{""empty"":-3.02766941191512,""lorem"":-2.944856725633782,""mask"":-3.1389244684507673,""na"":-3.605411437283902,""space"":-3.0955511603532333}",FQP-38fe3137c43fb779025cfdff9f48ba9d919ec086042ad765458f8b96c25c402c,"{""empty"":""FQP-bdae183860ef13eafe54bc4de500204eed77e1575b1ebd1ac4f3a440c18e7427"",""lorem"":""FQP-d15738d861bebfab51e4455bb39928ec5469f54fe2faf99899fac6f7fa24fa12"",""mask"":""FQP-39b6cf18cec9069bc428a130571bb6ae0d2f0e8db475e4d2b26365f771e67ace"",""na"":""FQP-ba5e818f8f953d3c3a837ac36d6724e9d944d1cd2880cec46b45c9ecb8a3f45a"",""space"":""FQP-d859667ab09d7d6bc9fc0dfef6c72da344d0a316f7fec7b2fa421945a9905c5b""}",hate,False,False,null,non-hate,null,False,-3.140765359112647
FQD-FD-3169-Q01-F1-P2-H,FD-3169-Q01,-0.5740122477213542,2.6016837647920905,-3.175696012513445,"{""empty"":3.189258829752604,""lorem"":4.363524627685547,""mask"":2.6163798014322914,""na"":1.620562489827474,""space"":2.755328114827474}","{""empty"":-3.7632710774739584,""lorem"":-4.937536875406901,""mask"":-3.1903920491536457,""na"":-2.194574737548828,""space"":-3.3293403625488285}","{""empty"":-3.066383973332819,""lorem"":-2.9743842116904258,""mask"":-3.172050922831102,""na"":-3.6289251972017027,""space"":-3.140281789595686}",FQP-674d858598aeebce07b757bec1e3996b775794aca41cd243affc4aeb29ec77a2,"{""empty"":""FQP-56c6c9899f8d77490e04e14d2d70ad80783aff4156d6bab0d9f353ec7d228080"",""lorem"":""FQP-4a60923d65fcf314e1b4e37ab7ac3bc4831adcbce38928e62e37d1655e52aebb"",""mask"":""FQP-753cd268354cd657d386440a2bd65b22880aaf6092ae25276d709bfea539599b"",""na"":""FQP-f51b14777c707371a844a56cd1e6366fe56bdad93654859e627dfd5547df875a"",""space"":""FQP-b7385f9e3fecd4f1e1cf8c1ec2ae05968bb1290c930de916b3713f14191cd2e3""}",hate,False,False,null,non-hate,null,False,-3.175696012513445
