job_id	query_id	recipient	donor	group	layer	m	recipient_m	donor_m	delta_m	delta_bound	donor_gap	donor_gap_fraction	reference_aligned_delta	prediction	flip	transition	donor_state_l2	donor_state_relative_l2
Q01-D02-into-D01-focal-L00	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	0	-20.481212615966797	-20.481338500976562	24.734024047851562	0.000125885009765625	2e-06	45.215362548828125	2.7841203225934906e-06	0.000125885009765625	有	False	unchanged	0.5654128735084238	0.013822783948604736
Q01-D02-into-D01-focal-L01	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	1	-20.478696823120117	-20.481338500976562	24.734024047851562	0.0026416778564453125	2e-06	45.215362548828125	5.842434313321189e-05	0.0026416778564453125	有	False	unchanged	0.57976101661684	0.012881776923498844
Q01-D02-into-D01-focal-L02	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	2	-20.469449996948242	-20.481338500976562	24.734024047851562	0.011888504028320312	2e-06	45.215362548828125	0.0002629306359200792	0.011888504028320312	有	False	unchanged	0.6371509399532691	0.013493914653400236
Q01-D02-into-D01-focal-L03	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	3	-20.4578857421875	-20.481338500976562	24.734024047851562	0.0234527587890625	2e-06	45.215362548828125	0.0005186900528274176	0.0234527587890625	有	False	unchanged	0.7501984373303384	0.013883866803739112
Q01-D02-into-D01-focal-L04	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	4	-20.451061248779297	-20.481338500976562	24.734024047851562	0.030277252197265625	2e-06	45.215362548828125	0.0006696231212249859	0.030277252197265625	有	False	unchanged	1.0863211603910379	0.016996290537582105
Q01-D02-into-D01-focal-L05	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	5	-20.447513580322266	-20.481338500976562	24.734024047851562	0.033824920654296875	2e-06	45.215362548828125	0.0007480846939526207	0.033824920654296875	有	False	unchanged	1.1938302923507242	0.016339466521902803
Q01-D02-into-D01-focal-L06	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	6	-20.449562072753906	-20.481338500976562	24.734024047851562	0.03177642822265625	2e-06	45.215362548828125	0.0007027794632485994	0.03177642822265625	有	False	unchanged	1.3950200715574568	0.017006341750076457
Q01-D02-into-D01-focal-L07	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	7	-20.434467315673828	-20.481338500976562	24.734024047851562	0.046871185302734375	2e-06	45.215362548828125	0.0010366208001123098	0.046871185302734375	有	False	unchanged	1.6897218345536642	0.01933370383874032
Q01-D02-into-D01-focal-L08	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	8	-20.46127700805664	-20.481338500976562	24.734024047851562	0.020061492919921875	2e-06	45.215362548828125	0.00044368753868239904	0.020061492919921875	有	False	unchanged	1.9608937318090838	0.021966409332991033
Q01-D02-into-D01-focal-L09	Q01	hfp-Q01-D01	hfp-Q01-D02	focal	9	-20.431386947631836	-20.481338500976562	24.734024047851562	0.04995155334472656	2e-06	45.215362548828125	0.0011047473807333475	0.04995155334472656	有	False	unchanged	2.2357631116839136	0.02508364959681542
