query_id	recipient	donor	layer	group	site	last_layer_expected_zero	upstream_job_id	restoration	condition	kind	job_id	m	recipient_m	donor_m	delta_m	delta_bound	donor_gap	donor_gap_bound	donor_gap_fraction	reference	reference_aligned_delta	prediction	recipient_prediction	flip	transition	direction	restoration_proof	donor_state_l2	replacement_token_count	donor_state_rms_per_coordinate
J05	jmix-J05-MPS	jmix-J05-M00	17	focal	decoder_block_output	False	J05-MPS-upstream		upstream	primary	J05-MPS-upstream	30.045637130737305	29.60476303100586	25.893070220947266	0.4408740997314453	2e-06	-3.7116928100585938	2e-06	-0.11877979194201838	无	0.4408740997314453	无	无	False	unchanged	positive		91.21218700038847	2	1.0077618117942206
J05	jmix-J05-MPS	jmix-J05-M00	17	pre	decoder_block_output	False	J05-MPS-preceding		preceding	position_control	J05-MPS-preceding	29.799190521240234	29.60476303100586	25.893070220947266	0.194427490234375	2e-06	-3.7116928100585938	2e-06	-0.05238243038526287	无	0.194427490234375	无	无	False	unchanged	positive		48.70975255945822	2	0.5381718178861207
J05	jmix-J05-MSP	jmix-J05-M00	17	focal	decoder_block_output	False	J05-MSP-upstream		upstream	primary	J05-MSP-upstream	28.12666893005371	27.32932472229004	25.893070220947266	0.7973442077636719	2e-06	-1.4362545013427734	2e-06	-0.5551552367760896	无	0.7973442077636719	无	无	False	unchanged	positive		90.4518724879736	2	0.9993614438635476
J05	jmix-J05-MSP	jmix-J05-M00	17	pre	decoder_block_output	False	J05-MSP-preceding		preceding	position_control	J05-MSP-preceding	27.387590408325195	27.32932472229004	25.893070220947266	0.05826568603515625	2e-06	-1.4362545013427734	2e-06	-0.04056780047037825	无	0.05826568603515625	无	无	False	unchanged	positive		43.609592731025295	2	0.4818224803889311
J06	jmix-J06-MPS	jmix-J06-M00	17	focal	decoder_block_output	False	J06-MPS-upstream		upstream	primary	J06-MPS-upstream	29.198854446411133	28.926952362060547	29.461158752441406	0.27190208435058594	2e-06	0.5342063903808594	2e-06	0.5089832118195645	无	0.27190208435058594	无	无	False	unchanged	positive		88.99110700344619	2	0.9832221129286636
J06	jmix-J06-MPS	jmix-J06-M00	17	pre	decoder_block_output	False	J06-MPS-preceding		preceding	position_control	J06-MPS-preceding	28.995718002319336	28.926952362060547	29.461158752441406	0.06876564025878906	2e-06	0.5342063903808594	2e-06	0.1287248552189033	无	0.06876564025878906	无	无	False	unchanged	positive		41.08809636250416	2	0.453963618187079
J06	jmix-J06-MSP	jmix-J06-M00	17	focal	decoder_block_output	False	J06-MSP-upstream		upstream	primary	J06-MSP-upstream	27.583467483520508	27.123254776000977	29.461158752441406	0.46021270751953125	2e-06	2.3379039764404297	2e-06	0.19684842155930932	无	0.46021270751953125	无	无	False	unchanged	positive		89.23981073857978	2	0.9859699269539665
J06	jmix-J06-MSP	jmix-J06-M00	17	pre	decoder_block_output	False	J06-MSP-preceding		preceding	position_control	J06-MSP-preceding	27.28689193725586	27.123254776000977	29.461158752441406	0.1636371612548828	2e-06	2.3379039764404297	2e-06	0.06999310617711006	无	0.1636371612548828	无	无	False	unchanged	positive		36.60331391792843	2	0.4044133044572995
J07	jmix-J07-MPS	jmix-J07-M00	17	focal	decoder_block_output	False	J07-MPS-upstream		upstream	primary	J07-MPS-upstream	-1.4632110595703125	-6.2827301025390625	-22.529621124267578	4.81951904296875	2e-06	-16.246891021728516	2e-06	-0.296642541426735	无	4.81951904296875	有	有	False	unchanged	positive		73.58618853022926	2	0.8130202017405763
J07	jmix-J07-MPS	jmix-J07-M00	17	pre	decoder_block_output	False	J07-MPS-preceding		preceding	position_control	J07-MPS-preceding	-6.269401550292969	-6.2827301025390625	-22.529621124267578	0.01332855224609375	2e-06	-16.246891021728516	2e-06	-0.0008203755554381578	无	0.01332855224609375	有	有	False	unchanged	positive		27.51662427110345	2	0.3040186190228066
J07	jmix-J07-MSP	jmix-J07-M00	17	focal	decoder_block_output	False	J07-MSP-upstream		upstream	primary	J07-MSP-upstream	-1.54608154296875	-5.496623992919922	-22.529621124267578	3.950542449951172	2e-06	-17.032997131347656	2e-06	-0.2319346630241934	无	3.950542449951172	有	有	False	unchanged	positive		73.21029046214575	2	0.8088670756003138
J07	jmix-J07-MSP	jmix-J07-M00	17	pre	decoder_block_output	False	J07-MSP-preceding		preceding	position_control	J07-MSP-preceding	-5.3708038330078125	-5.496623992919922	-22.529621124267578	0.12582015991210938	2e-06	-17.032997131347656	2e-06	-0.007386847948242121	无	0.12582015991210938	有	有	False	unchanged	positive		26.831673194949342	2	0.2964509072926567
