m	z_yes	z_no	log_p_yes	log_p_no	log_legal_mass	legal_mass	pair_support_no	raw_prediction	margin_error_bound	resolution	request_id	query_id	dictionary_id	condition	reference	reference_aligned_margin	raw_reference_correct
25.893070220947266	25.882610321044922	51.77568054199219	-25.89307228985257	-2.0689053030764626e-06	-2.0688996187345765e-06	0.9999979311025214	0.9999999999943157	无	1e-06	positive	jmix-J05-M00	J05	D00	M00	无	25.893070220947266	True
29.60476303100586	20.801013946533203	50.40577697753906	-29.604766024029935	-2.993024075692574e-06	-2.993023933584027e-06	0.9999970069805455	0.9999999999998579	无	1e-06	positive	jmix-J05-MPS	J05	D00	MPS	无	29.60476303100586	True
27.32932472229004	22.37819480895996	49.70751953125	-27.32932856062248	-3.838332439443093e-06	-3.838331089411895e-06	0.9999961616762769	0.99999999999865	无	1e-06	positive	jmix-J05-MSP	J05	D00	MSP	无	27.32932472229004	True
29.461158752441406	22.585121154785156	52.04627990722656	-29.461160221422112	-1.4689807059653504e-06	-1.4689805425405211e-06	0.9999985310205364	0.9999999999998366	无	1e-06	positive	jmix-J06-M00	J06	D00	M00	无	29.461158752441406	True
28.926952362060547	21.491329193115234	50.41828155517578	-28.926955609940265	-3.247879718060176e-06	-3.2478794480539364e-06	0.9999967521258263	0.99999999999973	无	1e-06	positive	jmix-J06-MPS	J06	D00	MPS	无	28.926952362060547	True
27.123254776000977	23.41107749938965	50.534332275390625	-27.123257432307923	-2.6563069468465983e-06	-2.6563052841765966e-06	0.9999973436982438	0.9999999999983373	无	1e-06	positive	jmix-J06-MSP	J06	D00	MSP	无	27.123254776000977	True
-22.529621124267578	54.80779266357422	32.27817153930664	-1.7909940197569085e-10	-22.529621124446678	-1.4850343177386094e-11	0.9999999999851497	1.642516973899517e-10	有	1e-06	negative	jmix-J07-M00	J07	D00	M00	无	-22.529621124267578	False
-6.2827301025390625	50.49120330810547	44.208473205566406	-0.0018665508333484127	-6.284596653372411	-9.281606594413461e-10	0.9999999990718393	0.001864808984252241	有	1e-06	negative	jmix-J07-MPS	J07	D00	MPS	无	-6.2827301025390625	False
-5.496623992919922	49.43436813354492	43.937744140625	-0.004092209406380221	-5.500716202326302	-2.196124171405245e-09	0.9999999978038758	0.004083845540117289	有	1e-06	negative	jmix-J07-MSP	J07	D00	MSP	无	-5.496623992919922	False
-14.836433410644531	53.02743911743164	38.19100570678711	-3.602915370493065e-07	-14.836433770936068	-2.928146614067373e-11	0.9999999999707185	3.6026218788155136e-07	有	1e-06	negative	jmix-J08-M00	J08	D00	M00	无	-14.836433410644531	False
1.6775398254394531	47.797542572021484	49.47508239746094	-1.8488285020587512	-0.17128867661929803	-2.170272352941538e-07	0.9999997829727882	0.8425784885661266	无	1e-06	positive	jmix-J08-MPS	J08	D00	MPS	无	1.6775398254394531	True
0.016208648681640625	48.08890914916992	48.10511779785156	-0.7012845433275174	-0.6850758946458768	-1.9874972423394865e-07	0.9999998012502955	0.5040520734573051	无	1e-06	positive	jmix-J08-MSP	J08	D00	MSP	无	0.016208648681640625	True
-24.09585189819336	55.40120315551758	31.30535125732422	-4.912692475045333e-11	-24.095851898242486	-1.482902689531329e-11	0.999999999985171	3.430081852881104e-11	有	1e-06	negative	jmix-J09-M00	J09	D00	M00	有	24.09585189819336	True
-20.323421478271484	55.34608840942383	35.022666931152344	-1.505895852460526e-09	-20.32342147977738	-1.4303225270850817e-11	0.9999999999856968	1.491592523911913e-09	有	1e-06	negative	jmix-J09-MPS	J09	D00	MPS	有	20.323421478271484	True
-20.073253631591797	55.2335205078125	35.1602668762207	-1.9309496224195755e-09	-20.073253633522746	-1.538325022920617e-11	0.9999999999846167	1.9155642053422823e-09	有	1e-06	negative	jmix-J09-MSP	J09	D00	MSP	有	20.073253631591797	True
-21.53982925415039	55.733741760253906	34.193912506103516	-4.49816184300289e-10	-21.539829254600207	-7.865708084864309e-12	0.9999999999921343	4.4194783791042576e-10	有	1e-06	negative	jmix-J10-M00	J10	D00	M00	有	21.53982925415039	True
-19.706298828125	55.50761413574219	35.80131530761719	-2.775685459255328e-09	-19.706298830900685	-1.0892620139202336e-11	0.9999999999891074	2.7647964235372646e-09	有	1e-06	negative	jmix-J10-MPS	J10	D00	MPS	有	19.706298828125	True
-17.675556182861328	54.99801254272461	37.32245635986328	-2.1080516887650447e-08	-17.675556203941845	-1.34789956973691e-11	0.999999999986521	2.1067037875839536e-08	有	1e-06	negative	jmix-J10-MSP	J10	D00	MSP	有	17.675556182861328	True
