contrast,iqr,max,mean,median,metric,min,n,p05,p95,q25,q75,status,stratum,task
NoCat_without_D,0.004603592353843784,0.4025614435027194,-0.007040170283039864,-7.840341291971037e-07,answer_sum/candidate_entropy,-0.4756487208706913,643,-0.18664504858302527,0.15952925795011436,-0.004439005822916587,0.00016458653092719786,defined,all,hate
NoCat_without_D,0.09446477085693085,0.4025614435027194,-0.015626384402214717,-0.003677183899551184,answer_sum/candidate_entropy,-0.4589356500545031,223,-0.2896048749409213,0.2454467823120798,-0.06595876337060053,0.028506007486330323,defined,Lq_hit,hate
NoCat_without_D,0.00034543848111476207,0.19025814972413102,-0.0024812994530970297,-1.639098748825137e-07,answer_sum/candidate_entropy,-0.4756487208706913,420,-0.04375705051216768,0.04032689183404038,-0.000329963098194076,1.5475382920686092e-05,defined,Lq_no_hit,hate
NoCat_without_D,1.5643958061985603e-05,0.3841984878403293,0.0018033304837791946,5.450847641933595e-09,answer_sum/candidate_entropy,-0.38191943849244125,252,-0.01291427425910618,0.020030485469801042,-1.0748567360933726e-05,4.895390701051877e-06,defined,gold_size_0,hate
NoCat_without_D,0.02189804602955325,0.4025614435027194,-0.010429423687298845,-2.7779166604872906e-05,answer_sum/candidate_entropy,-0.4589356500545031,328,-0.24424363575508248,0.18121623730338085,-0.016624001068967113,0.005274044960586138,defined,gold_size_1,hate
NoCat_without_D,0.12421227564054944,0.35372992507451584,-0.024768536578935997,-0.014783564351729228,answer_sum/candidate_entropy,-0.4756487208706913,63,-0.25144447591373753,0.19374032350249432,-0.09596715828577013,0.02824511735477932,defined,gold_size_2plus,hate
NoCat_with_D,0.12150545946804134,0.6092899039201976,-0.001790055353154588,-0.0007916497518090739,answer_sum/candidate_entropy,-0.4997705374650821,643,-0.27488540782140786,0.31842162087250864,-0.06825835804289307,0.05324710142514827,defined,all,hate
NoCat_with_D,0.20786592608963467,0.5254586609811335,-0.009242185649712357,-0.018159108177896663,answer_sum/candidate_entropy,-0.4997705374650821,223,-0.31924435235038723,0.33044259632254974,-0.11735161218811532,0.09051431390151934,defined,Lq_hit,hate
NoCat_with_D,0.07734867420910821,0.6092899039201976,0.0021666709709701314,-0.0001190785366298457,answer_sum/candidate_entropy,-0.4784698396967915,420,-0.24819962992800135,0.2702951767635973,-0.03786314252145001,0.039485531687658205,defined,Lq_no_hit,hate
NoCat_with_D,0.053921152846894346,0.4182176573504198,-0.0031267010356740765,-0.00015129075223781213,answer_sum/candidate_entropy,-0.4997705374650821,252,-0.24954814225619432,0.2503387709561347,-0.036612414203280354,0.017308738643613996,defined,gold_size_0,hate
