object_id,text,hate,group,attack_severity,pending_tasks,severity_status,label_review_kind,severity_review_kind,label_note,severity_rationale,severity_candidates,severity_suggested_score,hate_policy,group_policy,severity_policy,severity_label_reference_matches_current_values,online_material_confirmed,hate_source,group_source,severity_source,historical_hate,historical_hate_policy
demo:7350,你以为同性恋都很帅吗？就跟一个丑男想要美女要看自己配不配一样，一个丑的要命的同性恋能找着一个帅哥爱上你？,hate,"[""LGBTQ"", ""Sexism"", ""others""]",2,,scored,ai_note,ai_note,按外貌羞辱同性恋受话者并否定其婚恋匹配价值，以丑男美女作实际身份比较，拟 2／LGBTQ、Sexism、others。普通配偶评价没有上升到剥夺基本权利的主张。,按外貌羞辱同性恋受话者并否定其婚恋匹配价值，以丑男美女作实际身份比较，拟 2／LGBTQ、Sexism、others。普通配偶评价没有上升到剥夺基本权利的主张。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7394,3女同还是一个系列的的片,non-hate,"[""LGBTQ"", ""Sexism""]",0,,scored,ai_note,ai_note,只是描述女同题材或其中女性角色与影片系列关系，未出现攻击，拟 0／LGBTQ、Sexism。不从色情题材联想出作者的歧视立场。,只是描述女同题材或其中女性角色与影片系列关系，未出现攻击，拟 0／LGBTQ、Sexism。不从色情题材联想出作者的歧视立场。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,non-hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,hate,"[""Region"", ""Sexism"", ""others""]",2,,scored,ai_note,ai_note,主动引用并采纳对中国女性的身体恶臭辱骂，还给受话者命名羞辱，拟 2／Region、Sexism、others。国别与性别均明示；没有肤色或族裔线索，不从主子一词补 Racism。死鱼是身体气味比喻，未将人的地位判成非人。,主动引用并采纳对中国女性的身体恶臭辱骂，还给受话者命名羞辱，拟 2／Region、Sexism、others。国别与性别均明示；没有肤色或族裔线索，不从主子一词补 Racism。死鱼是身体气味比喻，未将人的地位判成非人。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7464,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,null,"[""LGBTQ"", ""others""]",null,attack_severity,needs_discussion,ai_note,ai_note,以爱／艾谐音把同性恋与艾滋绑定，攻击已明确，group 拟 LGBTQ、others（正常人作为对照身份）。分数倾向 2；“正常人”是否同时把同性恋排除于正常人的身份地位之外、达到 3，需校准。,以爱／艾谐音把同性恋与艾滋绑定，攻击已明确，group 拟 LGBTQ、others（正常人作为对照身份）。分数倾向 2；“正常人”是否同时把同性恋排除于正常人的身份地位之外、达到 3，需校准。,"[2, 3]",2,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",False,False,unresolved_severity,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7485,植物也会开花结果，你们同性恋的爱有什么结果？结果是艾滋。同性恋有什么爱情结晶？爱情结晶是hiv药。同性恋同婚有什么意义？意义就是互相传播艾滋上天堂,hate,"[""LGBTQ""]",2,,scored,ai_note,ai_note,以连续反问把同性恋爱情、婚姻等同于疾病传播，拟 2／LGBTQ。上天堂是疾病污名及冷嘲，未直接主张伤害；植物类比在此讨论繁衍结果，未据植物一词自动判非人化。未见独立个人受话者，不增 others。,以连续反问把同性恋爱情、婚姻等同于疾病传播，拟 2／LGBTQ。上天堂是疾病污名及冷嘲，未直接主张伤害；植物类比在此讨论繁衍结果，未据植物一词自动判非人化。未见独立个人受话者，不增 others。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7519,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,hate,"[""LGBTQ"", ""others""]",1,,scored,ai_note,ai_note,为同性恋反驳欺骗和不孝指控，但同时以智商、生活不如意讽刺反同参与者，拟 1／LGBTQ、others。按 #309、#5919 的轻度人格贬评尺度，不由反仇恨主旨覆盖独立攻击。,为同性恋反驳欺骗和不孝指控，但同时以智商、生活不如意讽刺反同参与者，拟 1／LGBTQ、others。按 #309、#5919 的轻度人格贬评尺度，不由反仇恨主旨覆盖独立攻击。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7545,按皮肤归纳人种本来就不对，黑人里面的人种特别多，天差地别。而且黑人不聪明很多是教育的原因。但是黑人数目那么大，比例少但是数量绝对不少。没必要说哪种人比哪种人聪明，更开化什么的。我就在网上看到过一些黑人精英，而且能到中国做生意的黑人，很多时候也是非洲比较聪明厉害有行动力的。就文化我们和他们处不来，但是做生意，尊重一些还是能做到的。,null,"[""Racism""]",null,attack_severity,needs_discussion,ai_note,ai_note,全文反对种族智力高低论并倡导尊重，但“黑人不聪明很多是教育的原因”可能仍认可群体不聪明的前提。倾向反歧视解释 0；若该前提构成独立污名，候选 2。中国及非洲是迁移经商背景，不据此另加 Region。,全文反对种族智力高低论并倡导尊重，但“黑人不聪明很多是教育的原因”可能仍认可群体不聪明的前提。倾向反歧视解释 0；若该前提构成独立污名，候选 2。中国及非洲是迁移经商背景，不据此另加 Region。,"[0, 2]",0,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,unresolved_severity,ai_note,ai_note,null,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7556,江浙沪不黑其他省份就不错了，2002年黑山东多宝鱼药物残留超标的是哪里？给山东造成了40多亿的损失。2015年的山东青岛大虾事件，是哪里的食客吃霸王餐倒打一耙？2019年的山大学伴事件是哪里媒体带头炒作出来的？2020年上海的自媒体同时炒作山东理工大学学生虐猫和山东烟台鲍毓明xx养女。经常黑山东的财经专家叶檀是哪里的？骂一亿山东人不如z的大学生是宇宙省的。骂全国的许女是哪里的？,hate,"[""Region""]",2,,scored,ai_note,ai_note,开头将攻击其他省份的行为泛化给江浙沪，后续通过事件和人物来源为其背书，拟 2／Region。对山东的动物辱称属于被批评的他人引文，不计成作者新的 3 级攻击；人物职业仅为指认背景，未自动加 others。,开头将攻击其他省份的行为泛化给江浙沪，后续通过事件和人物来源为其背书，拟 2／Region。对山东的动物辱称属于被批评的他人引文，不计成作者新的 3 级攻击；人物职业仅为指认背景，未自动加 others。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7611,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,hate,"[""others""]",2,,scored,ai_note,ai_note,直接称具体受话者为废物并羞辱其胆量，拟 2／others。明确个人辱骂，无可确认的专门身份类别。,直接称具体受话者为废物并羞辱其胆量，拟 2／others。明确个人辱骂，无可确认的专门身份类别。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
demo:7633,国外有敌对黑恶势力，收买国内一些下贱二狗子汉奸在国内做恶意引导～,hate,"[""others""]",2,,scored,ai_note,ai_note,明确辱骂被指收买的实际人员为下贱二狗子汉奸，拟 2／others。有明确人群角色，区别于 #5865 纯抽象制度资本讨论；国内外只是政治代理关系背景。二狗子是角色辱称，未据字面狗字另升 3。,明确辱骂被指收买的实际人员为下贱二狗子汉奸，拟 2／others。有明确人群角色，区别于 #5865 纯抽象制度资本讨论；国内外只是政治代理关系背景。二狗子是角色辱称，未据字面狗字另升 3。,[],,"{""version"": ""evidence-severity-hate-default-mapping/v1"", ""sha256"": ""dfacc5740e5fb6c15c18d8005622e4cea3401cc123cbfb577564396c8b36de17""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False,rule_mapping_from_ai_score,ai_note,ai_note,hate,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}"
