condition_id	query_short_id	family_id	lexicon_arm	demo_arm	input_status	m	margin_error_bound	raw_prediction	resolution	adopted_reference	raw_correct	conservative_correct	legal_mass	physical_score_id
CTDJ-G1-absent-none	G1	CTD-family-01	absent	none	historical_reuse	-25.47872543334961	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999949125	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-001
CTDJ-G1-L-none	G1	CTD-family-01	L	none	historical_reuse	-23.84607696533203	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999933635	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-002
CTDJ-G1-absent-same_A	G1	CTD-family-01	absent	same_A	historical_reuse	-25.034420013427734	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999933706	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-004
CTDJ-G1-L-same_A	G1	CTD-family-01	L	same_A	historical_reuse	-24.796178817749023	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999945715	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-005
CTDJ-G1-absent-same_B	G1	CTD-family-01	absent	same_B	historical_reuse	-23.062458038330078	0.00045013427734375	有	resolved_yes	有	True	True	0.999999999984297	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-007
CTDJ-G1-L-same_B	G1	CTD-family-01	L	same_B	historical_reuse	-22.092327117919922	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999902229	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-008
CTD2-G1-absent-other_A	G1	CTD-family-01	absent	other_A	new_unscored	-26.969669342041016	1e-06	有	resolved_yes	有	True	True	0.9999999999955023	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-001
CTD2-G1-L-other_A	G1	CTD-family-01	L	other_A	new_unscored	-25.962554931640625	1e-06	有	resolved_yes	有	True	True	0.9999999999956799	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-002
CTD2-G1-absent-other_B	G1	CTD-family-01	absent	other_B	new_unscored	-25.94664192199707	1e-06	有	resolved_yes	有	True	True	0.9999999999963762	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-003
CTD2-G1-L-other_B	G1	CTD-family-01	L	other_B	new_unscored	-23.211170196533203	1e-06	有	resolved_yes	有	True	True	0.9999999999921911	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-004
CTDJ-G2-absent-none	G2	CTD-family-01	absent	none	historical_reuse	30.414289474487305	0.00045013427734375	无	resolved_no	无	True	True	0.9999991606225335	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-010
CTDJ-G2-L-none	G2	CTD-family-01	L	none	historical_reuse	22.67304039001465	0.00045013427734375	无	resolved_no	无	True	True	0.9999984277363364	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-011
CTDJ-G2-absent-same_A	G2	CTD-family-01	absent	same_A	historical_reuse	28.836984634399414	0.00045013427734375	无	resolved_no	无	True	True	0.9999998309905608	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-013
CTDJ-G2-L-same_A	G2	CTD-family-01	L	same_A	historical_reuse	29.73406410217285	0.00045013427734375	无	resolved_no	无	True	True	0.999999745116544	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-014
CTDJ-G2-absent-same_B	G2	CTD-family-01	absent	same_B	historical_reuse	30.53644371032715	0.00045013427734375	无	resolved_no	无	True	True	0.9999993973956091	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-016
CTDJ-G2-L-same_B	G2	CTD-family-01	L	same_B	historical_reuse	28.04368782043457	0.00045013427734375	无	resolved_no	无	True	True	0.9999993393736141	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-017
CTDJ-G2-absent-other_A	G2	CTD-family-01	absent	other_A	historical_reuse	29.051244735717773	0.00045013427734375	无	resolved_no	无	True	True	0.9999997492821423	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-109
CTD2-G2-L-other_A	G2	CTD-family-01	L	other_A	new_unscored	25.676485061645508	1e-06	无	resolved_no	无	True	True	0.9999996040516594	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-005
CTDJ-G2-absent-other_B	G2	CTD-family-01	absent	other_B	historical_reuse	30.74503517150879	0.00045013427734375	无	resolved_no	无	True	True	0.9999993765026244	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-110
CTD2-G2-L-other_B	G2	CTD-family-01	L	other_B	new_unscored	24.60944938659668	1e-06	无	resolved_no	无	True	True	0.9999992201047462	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-006
CTDJ-G3-absent-none	G3	CTD-family-01	absent	none	historical_reuse	-17.878421783447266	0.00045013427734375	有	resolved_yes	无	False	False	0.9999999999849152	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-019
CTDJ-G3-L-none	G3	CTD-family-01	L	none	historical_reuse	-4.305095672607422	0.00045013427734375	有	resolved_yes	无	False	False	0.9999999972578877	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-020
CTDJ-G3-absent-same_A	G3	CTD-family-01	absent	same_A	historical_reuse	-10.159080505371094	0.00045013427734375	有	resolved_yes	无	False	False	0.9999999999588596	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-022
CTDJ-G3-L-same_A	G3	CTD-family-01	L	same_A	historical_reuse	3.7855186462402344	0.00045013427734375	无	resolved_no	无	True	True	0.9999999460656724	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-023
CTDJ-G3-absent-same_B	G3	CTD-family-01	absent	same_B	historical_reuse	-3.0465126037597656	0.00045013427734375	有	resolved_yes	无	False	False	0.9999999965748003	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-025
CTDJ-G3-L-same_B	G3	CTD-family-01	L	same_B	historical_reuse	-1.285888671875	0.00045013427734375	有	resolved_yes	无	False	False	0.9999999811656652	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-026
CTD2-G3-absent-other_A	G3	CTD-family-01	absent	other_A	new_unscored	-19.5662841796875	1e-06	有	resolved_yes	无	False	False	0.9999999999929656	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-007
CTD2-G3-L-other_A	G3	CTD-family-01	L	other_A	new_unscored	-5.350162506103516	1e-06	有	resolved_yes	无	False	False	0.9999999994619415	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-008
CTD2-G3-absent-other_B	G3	CTD-family-01	absent	other_B	new_unscored	-19.147403717041016	1e-06	有	resolved_yes	无	False	False	0.9999999999825491	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-009
CTD2-G3-L-other_B	G3	CTD-family-01	L	other_B	new_unscored	-6.529796600341797	1e-06	有	resolved_yes	无	False	False	0.9999999997345483	94592047-58cf-4dbf-9113-27e332029072:science:CTD2-PREVIEW-010
CTDJ-G4-absent-none	G4	CTD-family-01	absent	none	historical_reuse	-25.643508911132812	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999928164	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-028
CTDJ-G4-L-none	G4	CTD-family-01	L	none	historical_reuse	-22.55258560180664	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999899032	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-029
CTDJ-G4-absent-same_A	G4	CTD-family-01	absent	same_A	historical_reuse	-25.034006118774414	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999946354	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-031
CTDJ-G4-L-same_A	G4	CTD-family-01	L	same_A	historical_reuse	-22.661911010742188	0.00045013427734375	有	resolved_yes	有	True	True	0.9999999999838636	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-032
