id,content,label,x,y,cluster
3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,others,5.2106338,-7.510218,3
2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,others,5.991174,-5.4026055,7
5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,others,6.4353123,-6.3747854,9
6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,others,4.01526,-7.790718,5
1753,五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣,others,5.0263524,-6.979522,5
2775,艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,others,6.415736,-2.7753217,0
1950,无艾不是真基,others,5.5833263,-2.523559,8
7526,钓鱼的吧，除非让你全家女性照顾黑人,others,6.920125,-6.330933,7
4743,这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！,others,7.3190765,-6.660531,3
2919,这些个女人最后找完黑皮男友爽过之后还不是要找国人结婚，祸害国内男生，谁娶到这种女生谁倒霉，找黑的女生都是不知廉耻的，道德败坏，对感情不忠的人，无一例外，以后也会给自己老公带多少顶绿帽子都不知道,others,6.2450633,-6.33848,3
913,其实没啥的，就是炮友吗，艾滋病毒多点而已,others,6.3540955,-2.7452335,0
5955,选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄,others,5.728715,-7.1913548,5
5902,直接规定新法，嫁给外国人，自动失去中国国籍。,others,6.095167,-7.951376,5
73,我嫌弃他们丑😅,others,4.3900824,-5.0763154,6
5095,放心吧正常男人不会喜欢黑女的,others,6.9205804,-5.6222043,7
4853,美国现在已经被白左占领了，还好中国不是这样,others,3.9234443,-5.8216624,4
5359,关键是辨别不出来，要是媚黑在身上纹一个黑桃就方便了,others,6.695572,-5.322865,7
466,你去抖音弄个黑人身份，就会有女的私信你,others,6.2562733,-6.030317,7
958,真实，也是情理之中，就像大家在网上呼吁不要歧视艾滋病人一样，生活中遇到真艾滋病人都会自动走开,others,6.679168,-2.6845484,8
1778,我靠真能下得去手啊，我去主校区的时候也见过几个又黑又肥又丑看不清脸，可能是我的学校太好了女生都挺保守的，没听说也没看见哪个女生和黑人谈恋爱😅,others,6.9015512,-5.943712,3
5729,其他的都不说，为她去非洲生活点赞，別赖在中国，中国不需要黑族,others,6.034347,-7.0598936,7
6155,有趣啊，和没道德的不用讲道德是吧，和我们讲什么道德？我学历不高，但知道平权本身是道德高地，被你学历歧视给拉到道德洼地对不对啊,others,3.4317775,-4.7528176,5
5040,人不能总是被动防守，应该想办法主动进攻……我觉得，咱们应该跟黑人妹子交往。有没有谁知道，哪里能遇到黑人妹子呀？,others,7.1918893,-6.3795066,7
