group,module,layer,role,category,view,direction,metric,target,effect,effect_bound,residual,residual_bound,ratio,closeness_gain,eligible_direction
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_sum,R,C,0.16757583618164062,0.015607833862304688,0.002685546875,0.15196800231933594,0.002685546875,0.09313892872589861,0.09313892872589857,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_sum,R,I,0.17742156982421875,0.021869659423828125,0.00537109375,0.15555191040039062,0.00537109375,0.12326381423349818,0.12326381423349819,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_sum,K,C,0.16757583618164062,0.016141891479492188,0.002685546875,0.15143394470214844,0.002685546875,0.09632588950351705,0.09632588950351706,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_sum,K,I,0.17742156982421875,0.023044586181640625,0.00537109375,0.15437698364257812,0.00537109375,0.1298860460116104,0.12988604601161036,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_mean,R,C,0.05585937499999982,0.005202611287435044,0.002685546875,0.05065676371256478,0.002685546875,0.09313765661422206,0.09313765661422202,False
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_mean,R,I,0.05914103190104214,0.007289886474610263,0.00537109375,0.05185114542643188,0.00537109375,0.12326275413672325,0.12326275413672327,False
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_mean,K,C,0.05585937499999982,0.0053806304931640625,0.002685546875,0.05047874450683576,0.002685546875,0.09632457386363667,0.09632457386363669,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/answer_mean,K,I,0.05914103190104214,0.007681528727214726,0.00537109375,0.051459503173827414,0.00537109375,0.12988492896214357,0.12988492896214354,False
F1:N1-N2,attention,33,pre_answer,neutral_control,original/total_with_eos,R,C,0.16757583618164062,0.015607833862304688,0.002685546875,0.15196800231933594,0.002685546875,0.09313892872589861,0.09313892872589857,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/total_with_eos,R,I,0.17742156982421875,0.021869659423828125,0.00537109375,0.15555191040039062,0.00537109375,0.12326381423349818,0.12326381423349819,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/total_with_eos,K,C,0.16757583618164062,0.016141891479492188,0.002685546875,0.15143394470214844,0.002685546875,0.09632588950351705,0.09632588950351706,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/total_with_eos,K,I,0.17742156982421875,0.023044586181640625,0.00537109375,0.15437698364257812,0.00537109375,0.1298860460116104,0.12988604601161036,True
F1:N1-N2,attention,33,pre_answer,neutral_control,original/mean_with_eos,R,C,0.04189443588256814,0.003901958465576172,0.002685546875,0.037992477416991965,0.002685546875,0.09313786863041969,0.09313786863041973,False
F1:N1-N2,attention,33,pre_answer,neutral_control,original/mean_with_eos,R,I,0.04435571034749364,0.005467414855957031,0.00537109375,0.038888295491536606,0.00537109375,0.12326293081824069,0.12326293081824069,False
F1:N1-N2,attention,33,pre_answer,neutral_control,original/mean_with_eos,K,C,0.04189443588256814,0.004035472869873047,0.002685546875,0.03785896301269509,0.002685546875,0.09632479313445458,0.09632479313445463,False
F1:N1-N2,attention,33,pre_answer,neutral_control,original/mean_with_eos,K,I,0.04435571034749364,0.005761146545410156,0.00537109375,0.03859456380208348,0.00537109375,0.12988511513570417,0.12988511513570422,False
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_sum,R,C,0.38037681579589844,0.025373458862304688,0.002685546875,0.35500335693359375,0.002685546875,0.0667061130137845,0.06670611301378448,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_sum,R,I,0.17580795288085938,0.037464141845703125,0.00537109375,0.13834381103515625,0.00537109375,0.21309696877644455,0.21309696877644457,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_sum,K,C,0.38037681579589844,0.023723602294921875,0.002685546875,0.35665321350097656,0.002685546875,0.06236868628620999,0.06236868628620995,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_sum,K,I,0.17580795288085938,0.03672027587890625,0.00537109375,0.13908767700195312,0.00537109375,0.2088658406926031,0.20886584069260317,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_mean,R,C,0.19018840789794922,0.012686729431152344,0.002685546875,0.17750167846679688,0.002685546875,0.0667061130137845,0.06670611301378448,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_mean,R,I,0.08790397644042969,0.018732070922851562,0.00537109375,0.06917190551757812,0.00537109375,0.21309696877644455,0.21309696877644457,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_mean,K,C,0.19018840789794922,0.011861801147460938,0.002685546875,0.17832660675048828,0.002685546875,0.06236868628620999,0.06236868628620995,True
F1:N1-N2,attention,33,pre_answer,neutral_control,ab_forward/answer_mean,K,I,0.08790397644042969,0.018360137939453125,0.00537109375,0.06954383850097656,0.00537109375,0.2088658406926031,0.20886584069260317,True
